savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8776.70,0.17,87024
PublicServerGame_05_Final.sav,stable,8738.87,0.17,85176
PublicServerGame_05_Final.sav,today,8309.46,0.10,46068
PublicServerGame_05_Final.sav,yesterday,8260.38,0.48,45920
PublicServerGame_326_Final.sav,baseline,10025.61,0.13,84292
PublicServerGame_326_Final.sav,stable,9767.05,0.10,85220
PublicServerGame_326_Final.sav,today,9613.34,0.20,39536
PublicServerGame_326_Final.sav,yesterday,9408.38,0.15,39604
PublicServerGame_329_Final.sav,baseline,9673.02,0.14,113256
PublicServerGame_329_Final.sav,stable,9711.14,0.55,110080
PublicServerGame_329_Final.sav,today,9060.67,0.44,82516
PublicServerGame_329_Final.sav,yesterday,8781.62,0.61,82296
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8272.10,0.18,82924
lordaro_British-Railways-4th-Oct-2082.sav,stable,8086.90,0.23,84012
lordaro_British-Railways-4th-Oct-2082.sav,today,8081.45,0.23,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8098.62,0.23,42240
lordaro_biggest_town_ever.sav,baseline,6242.31,0.40,101176
lordaro_biggest_town_ever.sav,stable,5758.93,0.73,100484
lordaro_biggest_town_ever.sav,today,6891.24,0.70,86904
lordaro_biggest_town_ever.sav,yesterday,6936.46,0.29,86772
opntitle-1.0.sav,baseline,6329.80,0.57,53276
opntitle-1.0.sav,stable,6467.70,0.08,50968
opntitle-1.0.sav,today,7391.21,0.11,32000
opntitle-1.0.sav,yesterday,7406.52,0.33,32000
opntitle-1.1.sav,baseline,11669.17,0.44,79764
opntitle-1.1.sav,stable,8856.84,0.41,81020
opntitle-1.1.sav,today,9546.31,0.55,40676
opntitle-1.1.sav,yesterday,9334.21,0.55,38628
opntitle-1.2.sav,baseline,6493.27,0.14,55492
opntitle-1.2.sav,stable,6648.04,0.14,54260
opntitle-1.2.sav,today,7563.06,0.22,35948
opntitle-1.2.sav,yesterday,7715.03,0.51,35816
opntitle-1.3.sav,baseline,6390.79,0.50,55488
opntitle-1.3.sav,stable,6533.91,0.38,54248
opntitle-1.3.sav,today,7448.91,0.20,35692
opntitle-1.3.sav,yesterday,7439.23,0.17,35428
opntitle-1.4.sav,baseline,9116.24,0.38,82776
opntitle-1.4.sav,stable,8050.37,0.25,82576
opntitle-1.4.sav,today,8952.77,0.38,42032
opntitle-1.4.sav,yesterday,8945.41,0.39,41012
opntitle-1.5.sav,baseline,12757.96,0.10,82072
opntitle-1.5.sav,stable,10785.41,0.11,83592
opntitle-1.5.sav,today,13417.70,0.27,40420
opntitle-1.5.sav,yesterday,13382.41,0.30,40504
opntitle-1.7.sav,baseline,10814.57,0.19,78860
opntitle-1.7.sav,stable,8361.64,0.22,80252
opntitle-1.7.sav,today,9386.21,0.29,38760
opntitle-1.7.sav,yesterday,9264.51,0.29,38496
opntitle-1.9.sav,baseline,6335.81,0.14,53312
opntitle-1.9.sav,stable,6548.08,0.42,51404
opntitle-1.9.sav,today,7461.11,0.18,33640
opntitle-1.9.sav,yesterday,7475.82,0.16,33256
opntitle.sav,baseline,12026.18,0.18,78696
opntitle.sav,stable,10131.20,0.30,80932
opntitle.sav,today,9526.91,0.19,37760
opntitle.sav,yesterday,9399.34,0.46,37376
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,20358.30,0.52,136192
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,20336.53,0.51,137120
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,16833.22,0.81,128288
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,16416.61,0.73,126056
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11006.45,0.29,88312
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10188.11,0.29,88936
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,10137.70,0.85,45016
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9856.42,0.31,44704
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11495.99,0.87,123300
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12793.22,0.80,123056
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10813.45,0.64,85196
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10677.01,0.70,84756
wentbourne.sav,baseline,43195.52,0.83,301132
wentbourne.sav,stable,41770.82,0.64,296304
wentbourne.sav,today,39901.80,0.52,159048
wentbourne.sav,yesterday,39552.41,0.41,158392
