savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8737.88,0.19,86820
PublicServerGame_05_Final.sav,stable,8739.08,0.17,85276
PublicServerGame_05_Final.sav,today,8235.24,0.11,46420
PublicServerGame_05_Final.sav,yesterday,8248.55,0.11,46124
PublicServerGame_326_Final.sav,baseline,10366.58,0.41,84300
PublicServerGame_326_Final.sav,stable,10027.12,0.22,84980
PublicServerGame_326_Final.sav,today,9574.20,0.16,40172
PublicServerGame_326_Final.sav,yesterday,9503.51,0.29,39396
PublicServerGame_329_Final.sav,baseline,10309.54,0.41,113256
PublicServerGame_329_Final.sav,stable,10263.38,0.86,110020
PublicServerGame_329_Final.sav,today,9496.52,0.35,82476
PublicServerGame_329_Final.sav,yesterday,9581.19,0.42,82516
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8418.98,0.68,82972
lordaro_British-Railways-4th-Oct-2082.sav,stable,8354.07,0.41,83776
lordaro_British-Railways-4th-Oct-2082.sav,today,8217.96,0.51,43136
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8189.20,0.36,44572
lordaro_biggest_town_ever.sav,baseline,5520.22,0.73,101184
lordaro_biggest_town_ever.sav,stable,5966.79,0.54,100132
lordaro_biggest_town_ever.sav,today,7523.25,0.51,87112
lordaro_biggest_town_ever.sav,yesterday,7317.54,0.44,87108
opntitle-1.0.sav,baseline,6335.73,0.22,53316
opntitle-1.0.sav,stable,6522.90,0.19,51176
opntitle-1.0.sav,today,7517.66,0.22,32384
opntitle-1.0.sav,yesterday,7501.36,0.28,32384
opntitle-1.1.sav,baseline,11116.45,0.55,79624
opntitle-1.1.sav,stable,8619.31,0.11,81008
opntitle-1.1.sav,today,9121.91,0.25,40704
opntitle-1.1.sav,yesterday,9110.82,0.29,38712
opntitle-1.2.sav,baseline,6488.18,0.05,55492
opntitle-1.2.sav,stable,6667.28,0.33,54280
opntitle-1.2.sav,today,7610.98,0.05,35888
opntitle-1.2.sav,yesterday,7684.79,0.43,36264
opntitle-1.3.sav,baseline,6358.42,0.27,55492
opntitle-1.3.sav,stable,6550.31,0.35,54376
opntitle-1.3.sav,today,7529.16,0.24,35900
opntitle-1.3.sav,yesterday,7468.66,0.17,35764
opntitle-1.4.sav,baseline,9086.49,0.16,82668
opntitle-1.4.sav,stable,8094.58,0.35,82816
opntitle-1.4.sav,today,9017.05,0.38,41684
opntitle-1.4.sav,yesterday,8914.51,0.31,39176
opntitle-1.5.sav,baseline,12817.70,0.20,82116
opntitle-1.5.sav,stable,10831.44,0.37,82864
opntitle-1.5.sav,today,13615.83,0.35,40880
opntitle-1.5.sav,yesterday,13394.68,0.24,40768
opntitle-1.7.sav,baseline,10690.62,0.16,78828
opntitle-1.7.sav,stable,8263.73,0.30,80444
opntitle-1.7.sav,today,9208.88,0.48,38872
opntitle-1.7.sav,yesterday,9219.36,0.15,38956
opntitle-1.9.sav,baseline,6346.35,0.06,53148
opntitle-1.9.sav,stable,6550.61,0.29,51288
opntitle-1.9.sav,today,7480.56,0.02,33844
opntitle-1.9.sav,yesterday,7499.94,0.24,33844
opntitle.sav,baseline,11877.19,0.80,78716
opntitle.sav,stable,10075.54,0.04,81256
opntitle.sav,today,10558.35,0.39,37348
opntitle.sav,yesterday,10406.58,0.36,37312
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18767.50,0.48,135988
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18925.88,0.77,138032
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14945.15,0.33,126420
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14930.78,0.77,126420
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11257.99,0.21,88336
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10148.11,0.25,89824
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9929.42,0.27,45220
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9951.96,0.58,45092
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,12025.20,0.59,123096
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,15842.17,0.84,122896
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10645.15,0.55,85736
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10639.64,0.45,85260
wentbourne.sav,baseline,47277.62,0.44,300776
wentbourne.sav,stable,49502.74,0.44,294864
wentbourne.sav,today,41353.86,0.46,159136
wentbourne.sav,yesterday,41313.09,0.72,158700
