savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8989.14,0.28,87072
PublicServerGame_05_Final.sav,stable,9036.36,0.30,85544
PublicServerGame_05_Final.sav,today,8509.34,0.35,45944
PublicServerGame_05_Final.sav,yesterday,8477.25,0.18,46340
PublicServerGame_326_Final.sav,baseline,10245.94,0.56,84284
PublicServerGame_326_Final.sav,stable,9784.20,0.27,85164
PublicServerGame_326_Final.sav,today,9601.30,0.28,39980
PublicServerGame_326_Final.sav,yesterday,9742.52,0.15,39456
PublicServerGame_329_Final.sav,baseline,9658.92,0.20,113180
PublicServerGame_329_Final.sav,stable,9662.83,0.31,109888
PublicServerGame_329_Final.sav,today,8928.69,0.38,82468
PublicServerGame_329_Final.sav,yesterday,8973.95,0.60,82572
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8220.81,0.22,82916
lordaro_British-Railways-4th-Oct-2082.sav,stable,8095.07,0.12,83800
lordaro_British-Railways-4th-Oct-2082.sav,today,7928.54,0.17,44956
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7980.20,0.14,42880
lordaro_biggest_town_ever.sav,baseline,5302.58,0.60,101292
lordaro_biggest_town_ever.sav,stable,5441.69,0.36,99980
lordaro_biggest_town_ever.sav,today,6554.50,0.58,86724
lordaro_biggest_town_ever.sav,yesterday,6597.49,0.33,87116
opntitle-1.0.sav,baseline,6356.26,0.35,53276
opntitle-1.0.sav,stable,6526.34,0.24,50908
opntitle-1.0.sav,today,7491.03,0.37,32384
opntitle-1.0.sav,yesterday,7418.55,0.20,32384
opntitle-1.1.sav,baseline,11238.76,0.35,79764
opntitle-1.1.sav,stable,8650.59,0.30,81096
opntitle-1.1.sav,today,9294.04,0.37,40756
opntitle-1.1.sav,yesterday,9346.55,0.30,38588
opntitle-1.2.sav,baseline,6496.88,0.19,55496
opntitle-1.2.sav,stable,6681.57,0.29,54312
opntitle-1.2.sav,today,7661.81,0.13,36400
opntitle-1.2.sav,yesterday,7589.89,0.42,36284
opntitle-1.3.sav,baseline,6348.86,0.07,55496
opntitle-1.3.sav,stable,6554.64,0.65,54884
opntitle-1.3.sav,today,7533.53,0.24,35892
opntitle-1.3.sav,yesterday,7479.19,0.83,35772
opntitle-1.4.sav,baseline,9090.56,0.32,82668
opntitle-1.4.sav,stable,8060.20,0.40,82652
opntitle-1.4.sav,today,9026.89,0.41,41552
opntitle-1.4.sav,yesterday,9051.46,0.13,41960
opntitle-1.5.sav,baseline,13530.58,0.37,82060
opntitle-1.5.sav,stable,11240.89,0.50,83240
opntitle-1.5.sav,today,14363.29,0.53,40744
opntitle-1.5.sav,yesterday,14356.89,0.63,40496
opntitle-1.7.sav,baseline,10865.85,0.39,78876
opntitle-1.7.sav,stable,8297.69,0.16,80748
opntitle-1.7.sav,today,9290.96,0.45,38696
opntitle-1.7.sav,yesterday,9355.48,0.86,38840
opntitle-1.9.sav,baseline,6332.66,0.07,53280
opntitle-1.9.sav,stable,6539.06,0.42,51188
opntitle-1.9.sav,today,7438.91,0.35,33844
opntitle-1.9.sav,yesterday,7413.42,0.61,33724
opntitle.sav,baseline,11912.03,0.43,78700
opntitle.sav,stable,10295.10,0.41,80924
opntitle.sav,today,10725.71,0.15,37144
opntitle.sav,yesterday,10851.77,0.38,37248
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18635.88,0.56,136112
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19270.65,0.58,137920
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14952.18,0.30,126292
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14766.93,0.67,126428
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11233.60,0.49,88284
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10128.86,0.24,89848
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,10191.29,0.32,45092
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,10234.39,0.72,45100
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11735.62,0.44,123156
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13080.51,0.62,123408
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,11214.08,0.76,85480
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10992.59,0.58,85240
wentbourne.sav,baseline,46176.67,0.56,301136
wentbourne.sav,stable,46137.20,0.35,294852
wentbourne.sav,today,45279.07,0.30,157692
wentbourne.sav,yesterday,45091.20,0.63,158984
