savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8835.77,0.45,86808
PublicServerGame_05_Final.sav,stable,8779.58,0.27,85012
PublicServerGame_05_Final.sav,today,8303.66,0.39,42208
PublicServerGame_05_Final.sav,yesterday,8338.63,0.10,42204
PublicServerGame_326_Final.sav,baseline,10079.65,0.14,84216
PublicServerGame_326_Final.sav,stable,9800.73,0.22,84948
PublicServerGame_326_Final.sav,today,9715.47,0.14,39296
PublicServerGame_326_Final.sav,yesterday,9814.28,0.12,39424
PublicServerGame_329_Final.sav,baseline,10995.94,0.40,112880
PublicServerGame_329_Final.sav,stable,10821.38,0.57,109832
PublicServerGame_329_Final.sav,today,10419.52,0.64,77964
PublicServerGame_329_Final.sav,yesterday,8986.50,0.06,77900
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8274.12,0.16,82820
lordaro_British-Railways-4th-Oct-2082.sav,stable,8152.56,0.24,84004
lordaro_British-Railways-4th-Oct-2082.sav,today,1286.68,0.24,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1288.19,0.11,42496
lordaro_biggest_town_ever.sav,baseline,5816.83,0.85,101204
lordaro_biggest_town_ever.sav,stable,5848.48,0.51,99588
lordaro_biggest_town_ever.sav,today,7969.04,0.68,86024
lordaro_biggest_town_ever.sav,yesterday,7962.71,0.33,85888
opntitle-1.0.sav,baseline,6423.12,0.19,53152
opntitle-1.0.sav,stable,6542.13,0.16,50708
opntitle-1.0.sav,today,7594.03,0.21,32512
opntitle-1.0.sav,yesterday,7416.80,0.19,32512
opntitle-1.1.sav,baseline,11183.58,0.25,79668
opntitle-1.1.sav,stable,8661.62,0.21,81440
opntitle-1.1.sav,today,9947.84,0.31,36092
opntitle-1.1.sav,yesterday,10252.32,0.35,35964
opntitle-1.2.sav,baseline,6570.27,0.14,55500
opntitle-1.2.sav,stable,6759.05,0.41,54128
opntitle-1.2.sav,today,7710.36,0.21,36480
opntitle-1.2.sav,yesterday,7641.90,0.25,36480
opntitle-1.3.sav,baseline,6433.93,0.32,55488
opntitle-1.3.sav,stable,6555.62,0.14,54436
opntitle-1.3.sav,today,7680.41,0.26,36004
opntitle-1.3.sav,yesterday,7404.56,0.19,35964
opntitle-1.4.sav,baseline,9192.77,0.59,82668
opntitle-1.4.sav,stable,8208.18,0.35,82804
opntitle-1.4.sav,today,9403.59,0.31,38840
opntitle-1.4.sav,yesterday,9627.06,0.40,38832
opntitle-1.5.sav,baseline,12960.63,0.11,82116
opntitle-1.5.sav,stable,10970.04,0.18,83008
opntitle-1.5.sav,today,14669.95,0.34,37408
opntitle-1.5.sav,yesterday,14774.23,0.32,37320
opntitle-1.7.sav,baseline,11048.61,0.84,78828
opntitle-1.7.sav,stable,8474.14,0.35,80460
opntitle-1.7.sav,today,9895.81,0.24,36220
opntitle-1.7.sav,yesterday,10052.82,0.63,36340
opntitle-1.9.sav,baseline,6444.70,0.18,53152
opntitle-1.9.sav,stable,6566.04,0.29,51796
opntitle-1.9.sav,today,7596.82,0.10,33920
opntitle-1.9.sav,yesterday,7411.93,0.19,33916
opntitle.sav,baseline,12065.64,0.20,78776
opntitle.sav,stable,10171.57,0.34,80984
opntitle.sav,today,7514.66,0.40,35968
opntitle.sav,yesterday,7646.04,0.39,35840
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19025.23,0.21,136248
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18928.99,0.38,137032
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14625.20,0.32,123688
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14504.97,0.84,123684
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10944.95,0.27,88352
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10104.39,0.16,89064
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9679.68,0.43,44752
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9708.62,0.29,44876
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10770.55,0.20,123052
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12141.07,0.36,123936
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,9677.80,0.24,80220
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9722.43,0.10,80344
wentbourne.sav,baseline,44770.68,0.43,301140
wentbourne.sav,stable,45754.35,0.39,295528
wentbourne.sav,today,42743.67,0.81,152712
wentbourne.sav,yesterday,45137.47,0.47,152772
