savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8998.67,0.36,86916
PublicServerGame_05_Final.sav,stable,9052.75,0.82,85240
PublicServerGame_05_Final.sav,today,8675.36,0.80,42328
PublicServerGame_05_Final.sav,yesterday,8671.23,0.60,42324
PublicServerGame_326_Final.sav,baseline,10036.60,0.13,84212
PublicServerGame_326_Final.sav,stable,9780.07,0.14,85148
PublicServerGame_326_Final.sav,today,9990.53,0.14,39424
PublicServerGame_326_Final.sav,yesterday,9972.20,0.16,39424
PublicServerGame_329_Final.sav,baseline,9738.13,0.37,112948
PublicServerGame_329_Final.sav,stable,9648.29,0.33,110444
PublicServerGame_329_Final.sav,today,9034.32,0.28,78080
PublicServerGame_329_Final.sav,yesterday,9145.81,0.31,78028
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8277.85,0.18,82784
lordaro_British-Railways-4th-Oct-2082.sav,stable,8200.78,0.38,83816
lordaro_British-Railways-4th-Oct-2082.sav,today,1304.55,0.78,42752
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1301.78,0.41,42368
lordaro_biggest_town_ever.sav,baseline,4930.90,0.37,101192
lordaro_biggest_town_ever.sav,stable,5024.06,0.38,100588
lordaro_biggest_town_ever.sav,today,6680.24,0.19,86272
lordaro_biggest_town_ever.sav,yesterday,6692.57,0.11,86088
opntitle-1.0.sav,baseline,6451.90,0.23,53156
opntitle-1.0.sav,stable,6545.89,0.13,50948
opntitle-1.0.sav,today,7608.89,0.16,32768
opntitle-1.0.sav,yesterday,7636.30,0.40,32768
opntitle-1.1.sav,baseline,11293.54,0.38,79684
opntitle-1.1.sav,stable,8638.06,0.25,80872
opntitle-1.1.sav,today,10176.12,0.36,35960
opntitle-1.1.sav,yesterday,10117.10,0.49,36088
opntitle-1.2.sav,baseline,6579.62,0.14,55504
opntitle-1.2.sav,stable,6733.06,0.22,54464
opntitle-1.2.sav,today,7840.62,0.40,36472
opntitle-1.2.sav,yesterday,7789.31,0.25,36600
opntitle-1.3.sav,baseline,6425.84,0.13,55500
opntitle-1.3.sav,stable,6578.95,0.20,54524
opntitle-1.3.sav,today,7612.86,0.16,36088
opntitle-1.3.sav,yesterday,7612.51,0.14,35952
opntitle-1.4.sav,baseline,9161.31,0.31,82592
opntitle-1.4.sav,stable,8132.34,0.17,82096
opntitle-1.4.sav,today,9502.61,0.40,38960
opntitle-1.4.sav,yesterday,9443.94,0.25,38992
opntitle-1.5.sav,baseline,12755.14,0.15,82112
opntitle-1.5.sav,stable,10875.95,0.38,82656
opntitle-1.5.sav,today,14475.01,0.30,37404
opntitle-1.5.sav,yesterday,14769.69,0.45,37404
opntitle-1.7.sav,baseline,10868.16,0.30,78820
opntitle-1.7.sav,stable,8354.52,0.16,80160
opntitle-1.7.sav,today,10086.89,0.43,36208
opntitle-1.7.sav,yesterday,10143.09,0.18,36212
opntitle-1.9.sav,baseline,6428.46,0.16,53160
opntitle-1.9.sav,stable,6565.10,0.20,52344
opntitle-1.9.sav,today,7593.28,0.10,34040
opntitle-1.9.sav,yesterday,7603.73,0.07,34036
opntitle.sav,baseline,11822.57,0.28,78688
opntitle.sav,stable,10155.39,0.26,81556
opntitle.sav,today,7531.14,0.27,35968
opntitle.sav,yesterday,7528.14,0.57,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21627.92,0.36,135576
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,22598.22,0.66,138124
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,18653.27,0.48,123728
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15895.54,0.84,123692
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10907.02,0.31,88428
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10062.80,0.21,89576
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9704.63,0.47,45004
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9678.23,0.31,45008
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,13519.36,0.58,123108
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,15270.96,0.69,123136
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,13025.50,0.35,80220
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,12761.83,0.87,80220
wentbourne.sav,baseline,44113.45,0.44,301132
wentbourne.sav,stable,44133.30,0.50,295220
wentbourne.sav,today,42729.57,0.25,151440
wentbourne.sav,yesterday,42758.98,0.20,151540
