savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8791.56,0.18,86936
PublicServerGame_05_Final.sav,stable,8805.20,0.26,85332
PublicServerGame_05_Final.sav,today,8398.83,0.22,46308
PublicServerGame_05_Final.sav,yesterday,8420.11,0.39,46420
PublicServerGame_326_Final.sav,baseline,10049.07,0.23,84276
PublicServerGame_326_Final.sav,stable,9796.52,0.12,84792
PublicServerGame_326_Final.sav,today,9625.72,0.30,41384
PublicServerGame_326_Final.sav,yesterday,9592.77,0.14,40636
PublicServerGame_329_Final.sav,baseline,10167.91,0.69,113276
PublicServerGame_329_Final.sav,stable,9967.39,0.90,110004
PublicServerGame_329_Final.sav,today,8866.58,0.49,82096
PublicServerGame_329_Final.sav,yesterday,8908.56,0.75,82524
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8271.84,0.13,83000
lordaro_British-Railways-4th-Oct-2082.sav,stable,8268.30,0.17,83816
lordaro_British-Railways-4th-Oct-2082.sav,today,8166.67,0.23,43136
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7954.79,0.18,43264
lordaro_biggest_town_ever.sav,baseline,5334.58,0.71,101292
lordaro_biggest_town_ever.sav,stable,5356.17,0.39,100068
lordaro_biggest_town_ever.sav,today,6651.52,0.55,82748
lordaro_biggest_town_ever.sav,yesterday,6716.44,0.57,82752
opntitle-1.0.sav,baseline,6363.36,0.31,53272
opntitle-1.0.sav,stable,6530.53,0.26,51172
opntitle-1.0.sav,today,7472.90,0.49,32896
opntitle-1.0.sav,yesterday,7419.41,0.11,32768
opntitle-1.1.sav,baseline,11207.74,0.25,79644
opntitle-1.1.sav,stable,8680.57,0.20,81520
opntitle-1.1.sav,today,9669.53,0.62,40156
opntitle-1.1.sav,yesterday,9755.77,0.26,39852
opntitle-1.2.sav,baseline,6499.34,0.19,55492
opntitle-1.2.sav,stable,6664.53,0.07,54264
opntitle-1.2.sav,today,7579.63,0.38,36408
opntitle-1.2.sav,yesterday,7595.70,0.13,36536
opntitle-1.3.sav,baseline,6334.09,0.04,55508
opntitle-1.3.sav,stable,6529.22,0.30,55004
opntitle-1.3.sav,today,7408.68,0.14,36152
opntitle-1.3.sav,yesterday,7463.48,0.41,36152
opntitle-1.4.sav,baseline,9144.58,0.31,82716
opntitle-1.4.sav,stable,8103.61,0.40,82636
opntitle-1.4.sav,today,9078.15,0.21,42116
opntitle-1.4.sav,yesterday,9143.09,0.37,41124
opntitle-1.5.sav,baseline,12813.51,0.09,82060
opntitle-1.5.sav,stable,10838.47,0.22,83148
opntitle-1.5.sav,today,13740.90,0.31,40488
opntitle-1.5.sav,yesterday,13760.02,0.38,40140
opntitle-1.7.sav,baseline,11407.86,0.57,78832
opntitle-1.7.sav,stable,8537.60,0.45,80476
opntitle-1.7.sav,today,9905.67,0.25,38952
opntitle-1.7.sav,yesterday,10065.71,0.42,39068
opntitle-1.9.sav,baseline,6354.28,0.06,53276
opntitle-1.9.sav,stable,6549.26,0.20,51940
opntitle-1.9.sav,today,7414.87,0.10,33976
opntitle-1.9.sav,yesterday,7477.28,0.35,34104
opntitle.sav,baseline,11959.75,0.28,78680
opntitle.sav,stable,10089.69,0.15,81556
opntitle.sav,today,10541.61,0.31,37504
opntitle.sav,yesterday,10773.19,0.26,37592
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21457.62,0.68,135988
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,21860.40,0.21,136924
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,17876.04,0.69,123688
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,16876.69,0.60,123688
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10998.67,0.39,88704
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10099.17,0.24,89576
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9518.33,0.61,45316
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9440.69,0.84,45360
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10996.22,0.19,123304
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12332.02,0.19,123412
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,9963.95,0.41,83412
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9944.26,0.43,83928
wentbourne.sav,baseline,46420.43,0.17,300768
wentbourne.sav,stable,45973.94,0.32,294844
wentbourne.sav,today,43690.83,0.20,155052
wentbourne.sav,yesterday,43533.45,0.33,155712
