savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8727.77,0.13,86908
PublicServerGame_05_Final.sav,stable,8753.49,0.25,85384
PublicServerGame_05_Final.sav,today,7978.78,0.15,46344
PublicServerGame_05_Final.sav,yesterday,7955.02,0.14,46084
PublicServerGame_326_Final.sav,baseline,10025.91,0.09,84320
PublicServerGame_326_Final.sav,stable,9765.43,0.17,84964
PublicServerGame_326_Final.sav,today,9621.52,0.25,39896
PublicServerGame_326_Final.sav,yesterday,9715.98,0.20,39664
PublicServerGame_329_Final.sav,baseline,10060.01,0.58,113220
PublicServerGame_329_Final.sav,stable,10070.54,0.80,109920
PublicServerGame_329_Final.sav,today,9225.68,0.35,81840
PublicServerGame_329_Final.sav,yesterday,9355.21,0.61,82132
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8472.81,0.40,82936
lordaro_British-Railways-4th-Oct-2082.sav,stable,8394.17,0.41,83940
lordaro_British-Railways-4th-Oct-2082.sav,today,8151.79,0.67,44912
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7958.84,0.20,45384
lordaro_biggest_town_ever.sav,baseline,6140.03,0.67,101292
lordaro_biggest_town_ever.sav,stable,6203.17,0.34,100244
lordaro_biggest_town_ever.sav,today,8313.22,0.81,86276
lordaro_biggest_town_ever.sav,yesterday,8331.82,0.77,86268
opntitle-1.0.sav,baseline,5941.50,0.22,53280
opntitle-1.0.sav,stable,6098.91,0.44,50908
opntitle-1.0.sav,today,6937.96,0.34,32768
opntitle-1.0.sav,yesterday,7028.94,0.10,32640
opntitle-1.1.sav,baseline,11159.97,0.18,79584
opntitle-1.1.sav,stable,8649.01,0.13,81516
opntitle-1.1.sav,today,9634.35,0.57,39052
opntitle-1.1.sav,yesterday,9644.78,0.17,39216
opntitle-1.2.sav,baseline,6493.35,0.20,55508
opntitle-1.2.sav,stable,6706.19,0.38,54236
opntitle-1.2.sav,today,7598.13,0.24,36604
opntitle-1.2.sav,yesterday,7622.24,0.20,36472
opntitle-1.3.sav,baseline,6347.06,0.06,55504
opntitle-1.3.sav,stable,6600.91,0.76,54064
opntitle-1.3.sav,today,7428.19,0.14,36096
opntitle-1.3.sav,yesterday,7509.53,0.32,35956
opntitle-1.4.sav,baseline,9688.11,0.58,82788
opntitle-1.4.sav,stable,8432.02,0.86,82536
opntitle-1.4.sav,today,9401.07,0.15,42184
opntitle-1.4.sav,yesterday,9481.51,0.24,40936
opntitle-1.5.sav,baseline,12722.13,0.13,82128
opntitle-1.5.sav,stable,10915.03,0.24,82872
opntitle-1.5.sav,today,13713.88,0.23,40404
opntitle-1.5.sav,yesterday,13700.88,0.31,41240
opntitle-1.7.sav,baseline,12210.34,0.42,78904
opntitle-1.7.sav,stable,8826.39,0.31,80224
opntitle-1.7.sav,today,10318.88,0.37,39280
opntitle-1.7.sav,yesterday,11522.28,0.48,39272
opntitle-1.9.sav,baseline,6362.75,0.15,53428
opntitle-1.9.sav,stable,6561.30,0.59,51364
opntitle-1.9.sav,today,7455.43,0.27,34080
opntitle-1.9.sav,yesterday,7522.45,0.06,34040
opntitle.sav,baseline,11848.16,0.12,78712
opntitle.sav,stable,10120.65,0.10,81568
opntitle.sav,today,10158.92,0.27,37504
opntitle.sav,yesterday,10208.63,0.47,37504
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21323.60,0.76,135940
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,21766.14,0.38,137204
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,17863.96,0.76,123696
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,17550.14,0.65,123812
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11382.81,0.38,88332
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10649.30,0.32,89852
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9966.70,0.79,45576
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9630.56,0.34,45532
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11573.79,0.33,123212
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12938.96,0.41,123556
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10619.23,0.45,83524
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10723.94,0.62,83576
wentbourne.sav,baseline,48380.33,0.58,301156
wentbourne.sav,stable,51344.10,0.89,295244
wentbourne.sav,today,44755.25,0.53,155572
wentbourne.sav,yesterday,47159.26,0.31,155884
