savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8677.12,0.17,86948
PublicServerGame_05_Final.sav,stable,8986.41,0.29,85348
PublicServerGame_05_Final.sav,today,8204.22,0.39,46084
PublicServerGame_05_Final.sav,yesterday,7941.19,0.16,46148
PublicServerGame_326_Final.sav,baseline,10093.51,0.52,84292
PublicServerGame_326_Final.sav,stable,9755.24,0.10,85180
PublicServerGame_326_Final.sav,today,9743.26,0.21,40124
PublicServerGame_326_Final.sav,yesterday,9698.31,0.40,41808
PublicServerGame_329_Final.sav,baseline,9586.65,0.22,113220
PublicServerGame_329_Final.sav,stable,9528.57,0.23,110268
PublicServerGame_329_Final.sav,today,8825.61,0.39,82000
PublicServerGame_329_Final.sav,yesterday,8782.81,0.28,81912
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8264.92,0.23,82968
lordaro_British-Railways-4th-Oct-2082.sav,stable,8138.53,0.15,83416
lordaro_British-Railways-4th-Oct-2082.sav,today,7920.67,0.23,44824
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7910.99,0.37,43008
lordaro_biggest_town_ever.sav,baseline,6663.44,0.48,101292
lordaro_biggest_town_ever.sav,stable,6775.74,0.50,100056
lordaro_biggest_town_ever.sav,today,10334.34,0.34,86128
lordaro_biggest_town_ever.sav,yesterday,10100.85,0.42,86060
opntitle-1.0.sav,baseline,6342.11,0.21,53148
opntitle-1.0.sav,stable,6516.27,0.13,50720
opntitle-1.0.sav,today,7510.88,0.07,32512
opntitle-1.0.sav,yesterday,7408.25,0.12,32512
opntitle-1.1.sav,baseline,11280.79,0.18,79544
opntitle-1.1.sav,stable,8627.07,0.17,81136
opntitle-1.1.sav,today,9646.26,0.44,40008
opntitle-1.1.sav,yesterday,9683.65,0.59,39888
opntitle-1.2.sav,baseline,6499.96,0.25,55496
opntitle-1.2.sav,stable,6657.15,0.40,54240
opntitle-1.2.sav,today,7666.87,0.35,36456
opntitle-1.2.sav,yesterday,7662.63,0.11,36456
opntitle-1.3.sav,baseline,6350.26,0.15,55492
opntitle-1.3.sav,stable,6564.34,0.48,51332
opntitle-1.3.sav,today,7512.08,0.36,36004
opntitle-1.3.sav,yesterday,7412.99,0.16,35880
opntitle-1.4.sav,baseline,9191.56,0.42,82676
opntitle-1.4.sav,stable,8098.21,0.53,82848
opntitle-1.4.sav,today,9205.21,0.22,41984
opntitle-1.4.sav,yesterday,9183.14,0.45,42160
opntitle-1.5.sav,baseline,13091.90,0.46,82040
opntitle-1.5.sav,stable,11022.89,0.04,83240
opntitle-1.5.sav,today,14105.85,0.14,39108
opntitle-1.5.sav,yesterday,13885.58,0.34,38980
opntitle-1.7.sav,baseline,10822.13,0.19,78788
opntitle-1.7.sav,stable,8273.17,0.14,80424
opntitle-1.7.sav,today,9603.60,0.21,39072
opntitle-1.7.sav,yesterday,9561.10,0.60,39068
opntitle-1.9.sav,baseline,6354.08,0.09,53472
opntitle-1.9.sav,stable,6543.30,0.20,52788
opntitle-1.9.sav,today,7567.04,0.50,33828
opntitle-1.9.sav,yesterday,7439.71,0.05,33952
opntitle.sav,baseline,11933.94,0.23,78672
opntitle.sav,stable,10069.34,0.24,80788
opntitle.sav,today,10348.30,0.49,37476
opntitle.sav,yesterday,10278.70,0.36,37376
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19930.88,0.44,135972
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19854.22,0.68,137060
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,15945.87,0.65,123600
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,16008.14,0.52,123572
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11168.33,0.27,88544
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10294.31,0.28,89328
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9717.29,0.24,45352
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9679.51,0.74,45184
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11500.20,0.64,123160
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12645.34,0.68,123412
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10382.37,0.50,83408
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10293.50,0.62,83424
wentbourne.sav,baseline,47663.65,0.62,300768
wentbourne.sav,stable,46058.35,0.39,295144
wentbourne.sav,today,44328.28,0.67,154536
wentbourne.sav,yesterday,44679.19,0.53,155332
