savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8747.27,0.12,86932
PublicServerGame_05_Final.sav,stable,8726.02,0.28,85640
PublicServerGame_05_Final.sav,today,8010.42,0.14,46180
PublicServerGame_05_Final.sav,yesterday,7996.34,0.20,46048
PublicServerGame_326_Final.sav,baseline,10080.28,0.16,84308
PublicServerGame_326_Final.sav,stable,9826.71,0.21,85184
PublicServerGame_326_Final.sav,today,9714.25,0.10,43652
PublicServerGame_326_Final.sav,yesterday,9780.51,0.33,43556
PublicServerGame_329_Final.sav,baseline,10706.39,0.68,113252
PublicServerGame_329_Final.sav,stable,10907.98,0.75,110084
PublicServerGame_329_Final.sav,today,10092.27,0.72,82164
PublicServerGame_329_Final.sav,yesterday,10218.91,0.60,82044
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8320.57,0.24,82988
lordaro_British-Railways-4th-Oct-2082.sav,stable,8150.53,0.09,84036
lordaro_British-Railways-4th-Oct-2082.sav,today,7804.87,0.04,43008
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7841.97,0.16,45056
lordaro_biggest_town_ever.sav,baseline,5181.53,0.90,101188
lordaro_biggest_town_ever.sav,stable,5289.48,0.72,100108
lordaro_biggest_town_ever.sav,today,7232.27,0.63,87272
lordaro_biggest_town_ever.sav,yesterday,7113.01,0.45,86280
opntitle-1.0.sav,baseline,6333.09,0.14,53148
opntitle-1.0.sav,stable,6508.82,0.11,51060
opntitle-1.0.sav,today,7472.43,0.08,32768
opntitle-1.0.sav,yesterday,7454.54,0.11,32640
opntitle-1.1.sav,baseline,11081.71,0.33,79740
opntitle-1.1.sav,stable,8581.96,0.21,81268
opntitle-1.1.sav,today,9566.97,0.14,41100
opntitle-1.1.sav,yesterday,9589.53,0.28,40144
opntitle-1.2.sav,baseline,6482.44,0.05,55496
opntitle-1.2.sav,stable,6668.33,0.13,54256
opntitle-1.2.sav,today,7667.75,0.11,36612
opntitle-1.2.sav,yesterday,7739.71,0.82,36612
opntitle-1.3.sav,baseline,6331.15,0.08,55488
opntitle-1.3.sav,stable,6505.88,0.15,54164
opntitle-1.3.sav,today,7483.07,0.12,35968
opntitle-1.3.sav,yesterday,7458.62,0.15,36100
opntitle-1.4.sav,baseline,9387.39,0.43,82656
opntitle-1.4.sav,stable,8541.23,0.64,82528
opntitle-1.4.sav,today,9443.60,0.71,42316
opntitle-1.4.sav,yesterday,9280.87,0.47,42060
opntitle-1.5.sav,baseline,12812.26,0.37,82068
opntitle-1.5.sav,stable,10881.89,0.22,82836
opntitle-1.5.sav,today,13901.94,0.45,40516
opntitle-1.5.sav,yesterday,13771.95,0.21,41116
opntitle-1.7.sav,baseline,10861.77,0.25,78824
opntitle-1.7.sav,stable,8320.00,0.24,80612
opntitle-1.7.sav,today,9637.26,0.34,39296
opntitle-1.7.sav,yesterday,9571.02,0.35,39164
opntitle-1.9.sav,baseline,6376.53,0.24,53188
opntitle-1.9.sav,stable,6553.57,0.28,51560
opntitle-1.9.sav,today,7488.34,0.26,34052
opntitle-1.9.sav,yesterday,7496.72,0.18,33924
opntitle.sav,baseline,11997.95,0.28,78796
opntitle.sav,stable,10207.63,0.24,81252
opntitle.sav,today,10159.53,0.34,37376
opntitle.sav,yesterday,10265.01,0.15,37400
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18841.64,0.67,136044
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18418.13,0.66,137940
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14991.38,0.75,125708
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14340.30,0.46,125444
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10958.45,0.24,88516
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10039.08,0.13,89152
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9385.57,0.19,45376
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9383.77,0.31,45284
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10719.25,0.24,123292
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12061.27,0.18,123484
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10049.78,0.63,83324
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9835.52,0.38,83212
wentbourne.sav,baseline,49395.69,0.46,300952
wentbourne.sav,stable,49341.29,0.54,295032
wentbourne.sav,today,46857.81,0.58,155696
wentbourne.sav,yesterday,46421.74,0.30,155464
