savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8749.58,0.31,87052
PublicServerGame_05_Final.sav,stable,8730.67,0.15,85064
PublicServerGame_05_Final.sav,today,8471.12,0.06,42456
PublicServerGame_05_Final.sav,yesterday,8465.98,0.15,42440
PublicServerGame_326_Final.sav,baseline,10072.74,0.08,84252
PublicServerGame_326_Final.sav,stable,9794.46,0.50,85196
PublicServerGame_326_Final.sav,today,9911.45,0.47,39424
PublicServerGame_326_Final.sav,yesterday,9859.37,0.20,39680
PublicServerGame_329_Final.sav,baseline,10041.01,0.32,112976
PublicServerGame_329_Final.sav,stable,10088.05,0.58,110476
PublicServerGame_329_Final.sav,today,10004.36,0.82,77312
PublicServerGame_329_Final.sav,yesterday,9475.55,0.73,77076
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8218.09,0.16,82892
lordaro_British-Railways-4th-Oct-2082.sav,stable,8092.70,0.14,83928
lordaro_British-Railways-4th-Oct-2082.sav,today,1280.59,0.12,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1280.89,0.18,42624
lordaro_biggest_town_ever.sav,baseline,5039.24,0.49,101196
lordaro_biggest_town_ever.sav,stable,5155.73,0.48,99592
lordaro_biggest_town_ever.sav,today,7021.31,0.46,86008
lordaro_biggest_town_ever.sav,yesterday,6894.34,0.42,85884
opntitle-1.0.sav,baseline,6406.60,0.07,53152
opntitle-1.0.sav,stable,6526.61,0.13,51164
opntitle-1.0.sav,today,7439.12,0.20,32512
opntitle-1.0.sav,yesterday,7610.52,0.23,32512
opntitle-1.1.sav,baseline,11419.69,0.29,79808
opntitle-1.1.sav,stable,8816.65,0.21,81176
opntitle-1.1.sav,today,9402.48,0.36,36076
opntitle-1.1.sav,yesterday,9387.72,0.40,36148
opntitle-1.2.sav,baseline,6571.68,0.14,55492
opntitle-1.2.sav,stable,6676.43,0.13,54660
opntitle-1.2.sav,today,7618.71,0.18,36360
opntitle-1.2.sav,yesterday,7634.30,0.34,36592
opntitle-1.3.sav,baseline,6416.76,0.18,55488
opntitle-1.3.sav,stable,6555.53,0.20,54116
opntitle-1.3.sav,today,7477.13,0.34,36080
opntitle-1.3.sav,yesterday,7476.79,0.33,36080
opntitle-1.4.sav,baseline,9175.02,0.30,82616
opntitle-1.4.sav,stable,8206.25,0.34,82400
opntitle-1.4.sav,today,9332.68,0.33,38940
opntitle-1.4.sav,yesterday,9371.59,0.34,38952
opntitle-1.5.sav,baseline,12718.80,0.22,82060
opntitle-1.5.sav,stable,10937.43,0.21,82824
opntitle-1.5.sav,today,13602.83,0.25,37372
opntitle-1.5.sav,yesterday,13456.12,0.18,37384
opntitle-1.7.sav,baseline,10761.16,0.13,78892
opntitle-1.7.sav,stable,8348.73,0.12,80748
opntitle-1.7.sav,today,9302.73,0.58,36456
opntitle-1.7.sav,yesterday,9250.48,0.30,36332
opntitle-1.9.sav,baseline,6458.07,0.23,53436
opntitle-1.9.sav,stable,6582.36,0.35,51052
opntitle-1.9.sav,today,7475.24,0.05,34028
opntitle-1.9.sav,yesterday,7539.67,0.90,33844
opntitle.sav,baseline,12092.69,0.28,78724
opntitle.sav,stable,10199.08,0.18,81492
opntitle.sav,today,7465.89,0.38,35968
opntitle.sav,yesterday,7462.75,0.29,35840
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18331.91,0.61,136320
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18492.26,0.39,136972
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14099.71,0.69,123032
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14221.24,0.65,122888
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10947.02,0.50,88396
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10087.72,0.19,88552
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9224.26,0.48,44356
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9162.89,0.50,44380
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10761.07,0.11,123224
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12120.16,0.22,123616
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,9539.66,0.28,79756
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9540.31,0.22,79892
wentbourne.sav,baseline,49171.81,0.68,303216
wentbourne.sav,stable,50162.70,0.71,296220
wentbourne.sav,today,48398.42,0.73,152076
wentbourne.sav,yesterday,47866.15,0.44,152332
