savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8868.09,0.21,87008
PublicServerGame_05_Final.sav,stable,8828.30,0.28,85368
PublicServerGame_05_Final.sav,today,8595.05,0.18,42320
PublicServerGame_05_Final.sav,yesterday,8640.53,0.08,42320
PublicServerGame_326_Final.sav,baseline,10130.80,0.05,84168
PublicServerGame_326_Final.sav,stable,9885.66,0.26,84932
PublicServerGame_326_Final.sav,today,9948.67,0.19,39424
PublicServerGame_326_Final.sav,yesterday,9997.09,0.63,39296
PublicServerGame_329_Final.sav,baseline,9747.72,0.73,112932
PublicServerGame_329_Final.sav,stable,9746.35,0.28,110004
PublicServerGame_329_Final.sav,today,9017.12,0.44,77356
PublicServerGame_329_Final.sav,yesterday,9029.61,0.42,77224
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8243.68,0.09,82764
lordaro_British-Railways-4th-Oct-2082.sav,stable,8198.81,0.15,83568
lordaro_British-Railways-4th-Oct-2082.sav,today,1279.39,0.20,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1281.90,0.18,42752
lordaro_biggest_town_ever.sav,baseline,5076.80,0.45,101188
lordaro_biggest_town_ever.sav,stable,5110.41,0.23,100200
lordaro_biggest_town_ever.sav,today,7094.66,0.26,85880
lordaro_biggest_town_ever.sav,yesterday,7077.69,0.49,86136
opntitle-1.0.sav,baseline,6422.62,0.17,53152
opntitle-1.0.sav,stable,6555.05,0.12,51048
opntitle-1.0.sav,today,7474.81,0.24,32384
opntitle-1.0.sav,yesterday,7479.74,0.23,32512
opntitle-1.1.sav,baseline,11259.14,0.25,79608
opntitle-1.1.sav,stable,8621.41,0.26,81512
opntitle-1.1.sav,today,9139.57,0.43,35828
opntitle-1.1.sav,yesterday,9192.00,0.74,36080
opntitle-1.2.sav,baseline,6569.72,0.08,55496
opntitle-1.2.sav,stable,6728.96,0.21,54128
opntitle-1.2.sav,today,7611.43,0.33,36716
opntitle-1.2.sav,yesterday,7603.67,0.18,36716
opntitle-1.3.sav,baseline,6415.17,0.17,55492
opntitle-1.3.sav,stable,6578.06,0.14,54776
opntitle-1.3.sav,today,7470.99,0.29,35692
opntitle-1.3.sav,yesterday,7508.11,0.12,35952
opntitle-1.4.sav,baseline,9195.20,0.45,82644
opntitle-1.4.sav,stable,8076.33,0.61,82892
opntitle-1.4.sav,today,9365.21,0.37,38948
opntitle-1.4.sav,yesterday,9279.50,0.23,38944
opntitle-1.5.sav,baseline,13272.31,0.48,82076
opntitle-1.5.sav,stable,11193.98,0.33,83276
opntitle-1.5.sav,today,13934.75,0.38,37388
opntitle-1.5.sav,yesterday,14180.16,0.72,37388
opntitle-1.7.sav,baseline,11123.34,0.41,78792
opntitle-1.7.sav,stable,8405.68,0.24,80364
opntitle-1.7.sav,today,9432.01,0.35,36208
opntitle-1.7.sav,yesterday,9282.02,0.39,36204
opntitle-1.9.sav,baseline,6421.90,0.07,53156
opntitle-1.9.sav,stable,6578.89,0.13,52348
opntitle-1.9.sav,today,7547.66,0.84,33776
opntitle-1.9.sav,yesterday,7467.35,0.25,33780
opntitle.sav,baseline,12027.82,0.17,78672
opntitle.sav,stable,10153.83,0.08,80776
opntitle.sav,today,7388.77,0.07,35968
opntitle.sav,yesterday,7392.07,0.32,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,22258.99,0.33,136028
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,22524.26,0.38,136932
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,17446.64,0.58,122896
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,17739.65,0.46,122896
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10980.84,0.28,88284
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10029.14,0.11,89676
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9168.68,0.36,44604
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9096.56,0.19,44608
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11593.31,0.48,123180
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12987.10,0.44,123032
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10480.02,0.36,79764
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10455.83,0.81,79772
wentbourne.sav,baseline,44604.84,0.48,300984
wentbourne.sav,stable,44242.37,0.78,295184
wentbourne.sav,today,43394.95,0.88,152080
wentbourne.sav,yesterday,43176.89,0.86,152092
