savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8723.52,0.18,86880
PublicServerGame_05_Final.sav,stable,8683.54,0.15,85180
PublicServerGame_05_Final.sav,today,8218.28,0.27,42456
PublicServerGame_05_Final.sav,yesterday,8244.53,0.60,42136
PublicServerGame_326_Final.sav,baseline,10046.15,0.07,84148
PublicServerGame_326_Final.sav,stable,9805.11,0.18,85088
PublicServerGame_326_Final.sav,today,9786.34,0.14,39424
PublicServerGame_326_Final.sav,yesterday,9791.31,0.46,39552
PublicServerGame_329_Final.sav,baseline,10586.00,0.52,112988
PublicServerGame_329_Final.sav,stable,10683.27,0.32,110464
PublicServerGame_329_Final.sav,today,10156.28,0.63,77828
PublicServerGame_329_Final.sav,yesterday,9929.71,0.52,77828
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8212.70,0.11,82836
lordaro_British-Railways-4th-Oct-2082.sav,stable,8080.52,0.14,83816
lordaro_British-Railways-4th-Oct-2082.sav,today,1285.63,0.12,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1289.15,0.23,42496
lordaro_biggest_town_ever.sav,baseline,5538.84,0.30,101084
lordaro_biggest_town_ever.sav,stable,5589.69,0.87,100252
lordaro_biggest_town_ever.sav,today,7452.00,0.40,86140
lordaro_biggest_town_ever.sav,yesterday,7368.61,0.71,86012
opntitle-1.0.sav,baseline,6407.43,0.08,53156
opntitle-1.0.sav,stable,6535.99,0.10,50624
opntitle-1.0.sav,today,7410.25,0.25,32512
opntitle-1.0.sav,yesterday,7538.52,0.20,32512
opntitle-1.1.sav,baseline,11117.43,0.30,79576
opntitle-1.1.sav,stable,8747.77,0.29,81316
opntitle-1.1.sav,today,10114.96,0.49,36088
opntitle-1.1.sav,yesterday,9989.30,0.15,35960
opntitle-1.2.sav,baseline,6553.83,0.05,55496
opntitle-1.2.sav,stable,6686.38,0.13,54372
opntitle-1.2.sav,today,7530.58,0.04,36468
opntitle-1.2.sav,yesterday,7640.07,0.32,36596
opntitle-1.3.sav,baseline,6428.80,0.15,55500
opntitle-1.3.sav,stable,6569.45,0.18,54756
opntitle-1.3.sav,today,7401.97,0.09,36076
opntitle-1.3.sav,yesterday,7555.09,0.22,35960
opntitle-1.4.sav,baseline,9088.58,0.28,82640
opntitle-1.4.sav,stable,8079.10,0.40,82396
opntitle-1.4.sav,today,9404.77,0.25,39092
opntitle-1.4.sav,yesterday,9330.29,0.25,38964
opntitle-1.5.sav,baseline,12780.97,0.47,82116
opntitle-1.5.sav,stable,10872.96,0.25,83144
opntitle-1.5.sav,today,14566.91,0.47,37416
opntitle-1.5.sav,yesterday,14353.77,0.18,37660
opntitle-1.7.sav,baseline,10785.32,0.23,78820
opntitle-1.7.sav,stable,8320.39,0.22,80220
opntitle-1.7.sav,today,10019.12,0.13,36464
opntitle-1.7.sav,yesterday,9881.85,0.21,36336
opntitle-1.9.sav,baseline,6429.14,0.17,53444
opntitle-1.9.sav,stable,6587.29,0.36,51628
opntitle-1.9.sav,today,7414.73,0.06,33656
opntitle-1.9.sav,yesterday,7543.17,0.11,34036
opntitle.sav,baseline,11926.20,0.25,78652
opntitle.sav,stable,10123.83,0.24,81256
opntitle.sav,today,7506.14,0.67,35712
opntitle.sav,yesterday,7463.99,0.54,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,20756.62,0.33,135828
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,20241.26,0.79,137260
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,15899.12,0.65,123564
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15927.96,0.41,123560
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10907.45,0.09,88196
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10009.48,0.16,90616
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9759.95,0.44,44876
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9630.25,0.14,45012
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11095.53,0.49,123208
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12746.36,0.41,123084
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10132.11,0.70,80376
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10059.48,0.31,80220
wentbourne.sav,baseline,45316.05,0.33,303156
wentbourne.sav,stable,44855.68,0.27,294772
wentbourne.sav,today,42747.45,0.37,151360
wentbourne.sav,yesterday,43347.21,0.67,151616
