savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8731.25,0.11,86960
PublicServerGame_05_Final.sav,stable,8745.88,0.23,85176
PublicServerGame_05_Final.sav,today,8385.43,0.15,42280
PublicServerGame_05_Final.sav,yesterday,8427.02,0.09,42284
PublicServerGame_326_Final.sav,baseline,9975.86,0.16,84324
PublicServerGame_326_Final.sav,stable,9723.64,0.09,84912
PublicServerGame_326_Final.sav,today,9716.84,0.09,39552
PublicServerGame_326_Final.sav,yesterday,9744.25,0.13,39552
PublicServerGame_329_Final.sav,baseline,10658.99,0.81,113200
PublicServerGame_329_Final.sav,stable,9927.28,0.76,110128
PublicServerGame_329_Final.sav,today,9280.51,0.59,78036
PublicServerGame_329_Final.sav,yesterday,9160.93,0.67,77784
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8238.06,0.14,82948
lordaro_British-Railways-4th-Oct-2082.sav,stable,8049.49,0.18,83628
lordaro_British-Railways-4th-Oct-2082.sav,today,7869.18,0.23,42880
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7802.93,0.36,43264
lordaro_biggest_town_ever.sav,baseline,5363.86,0.88,101296
lordaro_biggest_town_ever.sav,stable,5384.73,0.43,99776
lordaro_biggest_town_ever.sav,today,7471.64,0.42,86268
lordaro_biggest_town_ever.sav,yesterday,7327.22,0.31,86228
opntitle-1.0.sav,baseline,6333.71,0.08,53276
opntitle-1.0.sav,stable,6529.11,0.16,51136
opntitle-1.0.sav,today,7499.78,0.14,32512
opntitle-1.0.sav,yesterday,7487.46,0.22,32640
opntitle-1.1.sav,baseline,11197.79,0.10,79560
opntitle-1.1.sav,stable,8688.58,0.25,81536
opntitle-1.1.sav,today,9608.37,0.47,35784
opntitle-1.1.sav,yesterday,9634.79,0.26,36172
opntitle-1.2.sav,baseline,6498.19,0.13,55496
opntitle-1.2.sav,stable,6695.96,0.41,54904
opntitle-1.2.sav,today,7643.19,0.13,36428
opntitle-1.2.sav,yesterday,7631.05,0.27,36684
opntitle-1.3.sav,baseline,6348.20,0.13,55496
opntitle-1.3.sav,stable,6590.30,0.65,54568
opntitle-1.3.sav,today,7540.86,0.34,36036
opntitle-1.3.sav,yesterday,7513.85,0.30,36172
opntitle-1.4.sav,baseline,9044.73,0.23,82624
opntitle-1.4.sav,stable,7997.62,0.42,82684
opntitle-1.4.sav,today,9184.57,0.49,39036
opntitle-1.4.sav,yesterday,9066.09,0.39,39044
opntitle-1.5.sav,baseline,12784.75,0.12,82128
opntitle-1.5.sav,stable,10883.81,0.50,83208
opntitle-1.5.sav,today,13663.75,0.20,37484
opntitle-1.5.sav,yesterday,13684.92,0.23,37616
opntitle-1.7.sav,baseline,11069.11,0.44,78800
opntitle-1.7.sav,stable,8380.50,0.47,80332
opntitle-1.7.sav,today,9697.96,0.44,36492
opntitle-1.7.sav,yesterday,9888.00,0.71,36460
opntitle-1.9.sav,baseline,6376.55,0.27,53480
opntitle-1.9.sav,stable,6503.83,0.03,52968
opntitle-1.9.sav,today,7497.92,0.14,33864
opntitle-1.9.sav,yesterday,7516.63,0.36,33984
opntitle.sav,baseline,11923.07,0.31,78788
opntitle.sav,stable,10203.24,0.20,81004
opntitle.sav,today,10704.62,0.07,36224
opntitle.sav,yesterday,10670.01,0.26,36352
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21428.64,0.06,136032
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,21654.12,0.51,136864
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,17148.61,0.53,123388
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,17649.89,0.85,123648
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10775.38,0.28,88376
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10007.66,0.12,89508
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9546.23,0.17,44960
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9427.59,0.28,44968
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,14975.42,0.44,122852
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,18006.79,0.78,123440
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,14395.56,0.85,80296
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,14313.11,0.48,81196
wentbourne.sav,baseline,48710.73,0.56,301136
wentbourne.sav,stable,44447.69,0.77,296516
wentbourne.sav,today,41721.41,0.25,152452
wentbourne.sav,yesterday,45451.85,0.83,153040
