savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8680.96,0.13,87052
PublicServerGame_05_Final.sav,stable,8702.71,0.16,85060
PublicServerGame_05_Final.sav,today,8359.81,0.20,42284
PublicServerGame_05_Final.sav,yesterday,8347.66,0.17,42276
PublicServerGame_326_Final.sav,baseline,10132.16,0.17,84384
PublicServerGame_326_Final.sav,stable,9808.24,0.17,84832
PublicServerGame_326_Final.sav,today,9860.21,0.21,39424
PublicServerGame_326_Final.sav,yesterday,9910.71,0.27,39296
PublicServerGame_329_Final.sav,baseline,9503.86,0.29,113136
PublicServerGame_329_Final.sav,stable,9384.78,0.21,110032
PublicServerGame_329_Final.sav,today,8736.04,0.13,77912
PublicServerGame_329_Final.sav,yesterday,8954.16,0.25,78032
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8259.68,0.27,82916
lordaro_British-Railways-4th-Oct-2082.sav,stable,8086.16,0.13,83588
lordaro_British-Railways-4th-Oct-2082.sav,today,7987.19,0.39,43264
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8173.03,0.16,43392
lordaro_biggest_town_ever.sav,baseline,5619.17,0.53,101188
lordaro_biggest_town_ever.sav,stable,5633.43,0.47,100184
lordaro_biggest_town_ever.sav,today,7760.81,0.86,86228
lordaro_biggest_town_ever.sav,yesterday,7567.43,0.38,86312
opntitle-1.0.sav,baseline,6336.57,0.16,53284
opntitle-1.0.sav,stable,6530.23,0.31,50836
opntitle-1.0.sav,today,7399.94,0.42,32640
opntitle-1.0.sav,yesterday,7498.71,0.13,32512
opntitle-1.1.sav,baseline,11121.88,0.32,79560
opntitle-1.1.sav,stable,8568.71,0.17,81508
opntitle-1.1.sav,today,9577.57,0.33,35920
opntitle-1.1.sav,yesterday,9623.63,0.42,35912
opntitle-1.2.sav,baseline,6487.74,0.11,55492
opntitle-1.2.sav,stable,6682.15,0.41,54136
opntitle-1.2.sav,today,7514.34,0.12,36328
opntitle-1.2.sav,yesterday,7634.80,0.25,37428
opntitle-1.3.sav,baseline,6335.04,0.12,55496
opntitle-1.3.sav,stable,6508.50,0.11,54260
opntitle-1.3.sav,today,7360.74,0.10,35788
opntitle-1.3.sav,yesterday,7519.05,0.19,36040
opntitle-1.4.sav,baseline,9129.82,0.37,82648
opntitle-1.4.sav,stable,8071.47,0.55,82604
opntitle-1.4.sav,today,9109.45,0.29,39036
opntitle-1.4.sav,yesterday,9302.71,0.38,38936
opntitle-1.5.sav,baseline,12734.64,0.19,82048
opntitle-1.5.sav,stable,10931.00,0.12,83148
opntitle-1.5.sav,today,13657.07,0.20,37616
opntitle-1.5.sav,yesterday,13652.90,0.08,37348
opntitle-1.7.sav,baseline,10833.77,0.28,78796
opntitle-1.7.sav,stable,8362.45,0.22,80496
opntitle-1.7.sav,today,9637.05,0.08,36300
opntitle-1.7.sav,yesterday,9593.21,0.30,36292
opntitle-1.9.sav,baseline,6347.62,0.07,53280
opntitle-1.9.sav,stable,6517.44,0.10,51896
opntitle-1.9.sav,today,7379.37,0.27,33868
opntitle-1.9.sav,yesterday,7507.13,0.14,33992
opntitle.sav,baseline,12101.72,0.35,78768
opntitle.sav,stable,10223.64,0.21,80676
opntitle.sav,today,10612.26,0.54,36224
opntitle.sav,yesterday,10823.96,0.27,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19575.14,0.41,136276
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19872.18,0.81,138160
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,15596.50,0.61,123772
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,16446.72,0.50,123636
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11181.72,0.37,88336
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10269.50,0.48,88980
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9807.16,0.27,44836
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9788.74,0.41,44832
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10851.27,0.22,123212
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12167.51,0.41,123524
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,9847.62,0.24,80172
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9984.36,0.25,80292
wentbourne.sav,baseline,47435.84,0.40,301120
wentbourne.sav,stable,46936.09,0.51,294740
wentbourne.sav,today,46057.35,0.38,151432
wentbourne.sav,yesterday,45396.33,0.36,151368
