savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8731.13,0.14,86904
PublicServerGame_05_Final.sav,stable,8703.56,0.19,85576
PublicServerGame_05_Final.sav,today,8338.30,0.20,42256
PublicServerGame_05_Final.sav,yesterday,8385.15,0.32,42156
PublicServerGame_326_Final.sav,baseline,9996.76,0.12,84292
PublicServerGame_326_Final.sav,stable,9772.02,0.14,84932
PublicServerGame_326_Final.sav,today,9651.18,0.07,39424
PublicServerGame_326_Final.sav,yesterday,9777.02,0.26,39424
PublicServerGame_329_Final.sav,baseline,10243.60,0.81,113240
PublicServerGame_329_Final.sav,stable,10263.92,0.74,110184
PublicServerGame_329_Final.sav,today,9709.19,0.67,77888
PublicServerGame_329_Final.sav,yesterday,9754.52,0.78,77912
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8298.08,0.40,82920
lordaro_British-Railways-4th-Oct-2082.sav,stable,8098.75,0.10,83584
lordaro_British-Railways-4th-Oct-2082.sav,today,1285.25,0.19,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,7838.46,0.09,43264
lordaro_biggest_town_ever.sav,baseline,5182.00,0.85,101184
lordaro_biggest_town_ever.sav,stable,5131.13,0.20,99880
lordaro_biggest_town_ever.sav,today,6931.58,0.27,86076
lordaro_biggest_town_ever.sav,yesterday,7243.80,0.54,86228
opntitle-1.0.sav,baseline,6346.45,0.12,53280
opntitle-1.0.sav,stable,6540.94,0.26,51000
opntitle-1.0.sav,today,7366.53,0.19,32384
opntitle-1.0.sav,yesterday,7506.50,0.48,32512
opntitle-1.1.sav,baseline,11679.70,0.23,79728
opntitle-1.1.sav,stable,8869.92,0.14,81220
opntitle-1.1.sav,today,10051.86,0.61,35888
opntitle-1.1.sav,yesterday,9999.84,0.57,36044
opntitle-1.2.sav,baseline,6519.68,0.30,55500
opntitle-1.2.sav,stable,6668.97,0.20,54688
opntitle-1.2.sav,today,7543.25,0.54,36404
opntitle-1.2.sav,yesterday,7614.28,0.20,36424
opntitle-1.3.sav,baseline,6327.84,0.17,55492
opntitle-1.3.sav,stable,6525.77,0.14,54456
opntitle-1.3.sav,today,7350.33,0.13,35892
opntitle-1.3.sav,yesterday,7463.75,0.17,35916
opntitle-1.4.sav,baseline,9142.43,0.35,82664
opntitle-1.4.sav,stable,8077.24,0.27,82928
opntitle-1.4.sav,today,9090.38,0.17,38884
opntitle-1.4.sav,yesterday,9133.33,0.24,39764
opntitle-1.5.sav,baseline,12651.18,0.14,82164
opntitle-1.5.sav,stable,10774.14,0.17,82904
opntitle-1.5.sav,today,13628.51,0.18,37460
opntitle-1.5.sav,yesterday,13724.99,0.13,37680
opntitle-1.7.sav,baseline,10726.23,0.12,78828
opntitle-1.7.sav,stable,8305.84,0.14,80368
opntitle-1.7.sav,today,9628.40,0.19,36272
opntitle-1.7.sav,yesterday,9666.48,0.43,36472
opntitle-1.9.sav,baseline,6350.54,0.10,53280
opntitle-1.9.sav,stable,6579.09,0.83,52596
opntitle-1.9.sav,today,7369.73,0.12,33776
opntitle-1.9.sav,yesterday,7464.30,0.34,33996
opntitle.sav,baseline,11956.03,0.17,78812
opntitle.sav,stable,10073.98,0.05,81392
opntitle.sav,today,7722.55,0.33,35968
opntitle.sav,yesterday,10755.90,0.39,36224
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19225.05,0.51,135676
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18998.29,0.67,138076
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14556.63,0.56,123612
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15040.15,0.36,123640
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10957.90,0.32,88356
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10065.98,0.20,90124
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9430.72,0.24,44808
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9533.36,0.39,44964
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11102.00,0.73,123192
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12408.41,0.43,123192
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10152.45,0.67,80328
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10398.91,0.45,80300
wentbourne.sav,baseline,43710.39,0.54,300788
wentbourne.sav,stable,43855.99,0.58,295024
wentbourne.sav,today,42073.65,0.70,151284
wentbourne.sav,yesterday,40891.97,0.43,152716
