savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8855.45,0.28,87052
PublicServerGame_05_Final.sav,stable,8876.84,0.20,85408
PublicServerGame_05_Final.sav,today,8676.73,0.15,42552
PublicServerGame_05_Final.sav,yesterday,8623.99,0.20,41816
PublicServerGame_326_Final.sav,baseline,10005.63,0.08,84212
PublicServerGame_326_Final.sav,stable,9748.80,0.17,84744
PublicServerGame_326_Final.sav,today,crash,crash,crash
PublicServerGame_326_Final.sav,yesterday,9748.49,0.17,38912
PublicServerGame_329_Final.sav,baseline,10768.13,0.41,112916
PublicServerGame_329_Final.sav,stable,10628.51,0.55,110052
PublicServerGame_329_Final.sav,today,crash,crash,crash
PublicServerGame_329_Final.sav,yesterday,9733.20,0.58,75740
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8319.09,0.40,82936
lordaro_British-Railways-4th-Oct-2082.sav,stable,8073.74,0.18,83864
lordaro_British-Railways-4th-Oct-2082.sav,today,1314.38,0.12,41984
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1290.52,0.30,42112
lordaro_biggest_town_ever.sav,baseline,5160.82,0.34,101084
lordaro_biggest_town_ever.sav,stable,5269.02,0.66,100120
lordaro_biggest_town_ever.sav,today,7112.35,0.72,85340
lordaro_biggest_town_ever.sav,yesterday,7129.62,0.65,85340
opntitle-1.0.sav,baseline,6410.08,0.06,53156
opntitle-1.0.sav,stable,6549.33,0.13,50964
opntitle-1.0.sav,today,7491.99,0.20,32512
opntitle-1.0.sav,yesterday,7451.07,0.31,32256
opntitle-1.1.sav,baseline,11174.19,0.28,79652
opntitle-1.1.sav,stable,8847.34,0.83,81168
opntitle-1.1.sav,today,9383.78,0.82,36048
opntitle-1.1.sav,yesterday,9394.75,0.21,35924
opntitle-1.2.sav,baseline,6556.50,0.10,55496
opntitle-1.2.sav,stable,6721.64,0.21,53980
opntitle-1.2.sav,today,7668.58,0.36,36308
opntitle-1.2.sav,yesterday,7571.87,0.32,36216
opntitle-1.3.sav,baseline,6420.70,0.17,55492
opntitle-1.3.sav,stable,6549.47,0.21,54624
opntitle-1.3.sav,today,7517.66,0.20,35920
opntitle-1.3.sav,yesterday,7387.27,0.13,35864
opntitle-1.4.sav,baseline,9128.98,0.43,82652
opntitle-1.4.sav,stable,8079.28,0.28,82224
opntitle-1.4.sav,today,crash,crash,crash
opntitle-1.4.sav,yesterday,9511.03,0.14,38196
opntitle-1.5.sav,baseline,12827.32,0.22,82112
opntitle-1.5.sav,stable,10870.65,0.28,82924
opntitle-1.5.sav,today,13882.10,0.27,37168
opntitle-1.5.sav,yesterday,13804.03,0.43,36724
opntitle-1.7.sav,baseline,10856.40,0.37,78828
opntitle-1.7.sav,stable,8300.36,0.34,79988
opntitle-1.7.sav,today,crash,crash,crash
opntitle-1.7.sav,yesterday,9378.76,0.48,35856
opntitle-1.9.sav,baseline,6520.73,0.38,53152
opntitle-1.9.sav,stable,6561.16,0.13,51120
opntitle-1.9.sav,today,7551.36,0.43,34000
opntitle-1.9.sav,yesterday,7442.20,0.43,33872
opntitle.sav,baseline,12041.87,0.28,78676
opntitle.sav,stable,10208.89,0.46,80732
opntitle.sav,today,crash,crash,crash
opntitle.sav,yesterday,7338.96,0.27,35456
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18490.76,0.42,135564
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18279.73,0.16,137228
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,13695.42,0.72,121860
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,13615.14,0.49,121956
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11046.69,0.27,88264
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10330.70,0.58,89936
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9009.95,0.41,43864
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9124.81,0.37,43864
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10925.23,0.32,123248
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12207.53,0.27,123312
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,7665.06,0.43,78836
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,7449.88,0.58,78832
wentbourne.sav,baseline,45711.39,0.27,300772
wentbourne.sav,stable,46286.30,0.25,295116
wentbourne.sav,today,crash,crash,crash
wentbourne.sav,yesterday,43327.79,0.46,139024
