savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8767.72,0.24,86972
PublicServerGame_05_Final.sav,stable,8815.42,0.19,85136
PublicServerGame_05_Final.sav,today,8318.33,0.19,41508
PublicServerGame_05_Final.sav,yesterday,8378.16,0.09,41504
PublicServerGame_326_Final.sav,baseline,10063.85,0.19,84240
PublicServerGame_326_Final.sav,stable,9806.10,0.28,84980
PublicServerGame_326_Final.sav,today,9765.49,0.16,38784
PublicServerGame_326_Final.sav,yesterday,9696.52,0.13,38656
PublicServerGame_329_Final.sav,baseline,11677.72,0.69,113084
PublicServerGame_329_Final.sav,stable,11584.89,0.66,110092
PublicServerGame_329_Final.sav,today,10961.37,0.56,75472
PublicServerGame_329_Final.sav,yesterday,10710.12,0.72,75596
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8230.96,0.16,82864
lordaro_British-Railways-4th-Oct-2082.sav,stable,8071.32,0.16,83864
lordaro_British-Railways-4th-Oct-2082.sav,today,1298.00,0.26,41984
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1259.28,0.31,41984
lordaro_biggest_town_ever.sav,baseline,6608.68,0.86,101184
lordaro_biggest_town_ever.sav,stable,6690.36,0.45,100216
lordaro_biggest_town_ever.sav,today,8713.80,0.87,85516
lordaro_biggest_town_ever.sav,yesterday,8843.72,0.72,85448
opntitle-1.0.sav,baseline,6419.78,0.11,53156
opntitle-1.0.sav,stable,6547.11,0.13,51176
opntitle-1.0.sav,today,7428.76,0.21,32384
opntitle-1.0.sav,yesterday,7405.21,0.27,32128
opntitle-1.1.sav,baseline,11270.14,0.48,79580
opntitle-1.1.sav,stable,8659.24,0.27,80928
opntitle-1.1.sav,today,9179.73,0.13,35784
opntitle-1.1.sav,yesterday,9248.96,0.28,35652
opntitle-1.2.sav,baseline,6574.85,0.13,55496
opntitle-1.2.sav,stable,6747.48,0.21,54204
opntitle-1.2.sav,today,7546.33,0.12,36160
opntitle-1.2.sav,yesterday,7526.59,0.09,36160
opntitle-1.3.sav,baseline,6426.89,0.25,55496
opntitle-1.3.sav,stable,6549.20,0.23,54100
opntitle-1.3.sav,today,7423.92,0.26,35780
opntitle-1.3.sav,yesterday,7444.01,0.26,35900
opntitle-1.4.sav,baseline,9138.18,0.13,82616
opntitle-1.4.sav,stable,8086.68,0.33,82624
opntitle-1.4.sav,today,9494.42,0.28,37732
opntitle-1.4.sav,yesterday,9609.61,0.32,37852
opntitle-1.5.sav,baseline,12824.64,0.10,82140
opntitle-1.5.sav,stable,10847.25,0.20,82860
opntitle-1.5.sav,today,13808.93,0.05,36636
opntitle-1.5.sav,yesterday,13880.99,0.34,36624
opntitle-1.7.sav,baseline,10820.96,0.11,78784
opntitle-1.7.sav,stable,8391.83,0.16,80592
opntitle-1.7.sav,today,9216.68,0.47,35520
opntitle-1.7.sav,yesterday,9849.20,0.41,35516
opntitle-1.9.sav,baseline,6440.31,0.14,53152
opntitle-1.9.sav,stable,6564.13,0.18,51124
opntitle-1.9.sav,today,7435.07,0.26,33600
opntitle-1.9.sav,yesterday,7424.72,0.21,33604
opntitle.sav,baseline,11983.99,0.44,78676
opntitle.sav,stable,10100.32,0.10,80744
opntitle.sav,today,7178.57,0.24,35200
opntitle.sav,yesterday,7291.01,0.55,35200
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19959.68,0.39,135992
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19546.57,0.63,137796
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14937.91,0.60,121688
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14743.90,0.68,121800
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10976.26,0.52,88300
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10037.22,0.33,89224
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9058.43,0.34,43976
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9066.24,0.31,43984
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11451.52,0.83,123164
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12639.32,0.46,123252
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,7811.95,0.27,78688
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,7948.69,0.86,78448
wentbourne.sav,baseline,44205.68,0.47,301092
wentbourne.sav,stable,46594.98,0.65,295236
wentbourne.sav,today,45889.95,0.30,138876
wentbourne.sav,yesterday,46205.15,0.51,138620
