savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8654.10,0.47,87080
PublicServerGame_05_Final.sav,stable,8634.48,0.17,85744
PublicServerGame_05_Final.sav,today,8679.23,0.26,84340
PublicServerGame_05_Final.sav,yesterday,8680.55,0.35,84312
PublicServerGame_326_Final.sav,baseline,10047.41,0.12,84280
PublicServerGame_326_Final.sav,stable,9846.09,0.21,84788
PublicServerGame_326_Final.sav,today,10215.53,0.34,85476
PublicServerGame_326_Final.sav,yesterday,10171.03,0.25,85288
PublicServerGame_329_Final.sav,baseline,9934.09,0.56,113276
PublicServerGame_329_Final.sav,stable,9908.23,0.82,110072
PublicServerGame_329_Final.sav,today,10357.72,0.61,112232
PublicServerGame_329_Final.sav,yesterday,10367.19,0.88,112216
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8250.23,0.03,82936
lordaro_British-Railways-4th-Oct-2082.sav,stable,8258.68,0.16,83864
lordaro_British-Railways-4th-Oct-2082.sav,today,8177.37,0.15,83360
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8040.33,0.23,83340
lordaro_biggest_town_ever.sav,baseline,5300.90,0.28,101192
lordaro_biggest_town_ever.sav,stable,5221.76,0.29,99904
lordaro_biggest_town_ever.sav,today,5178.28,0.38,97552
lordaro_biggest_town_ever.sav,yesterday,5194.52,0.32,97384
opntitle-1.0.sav,baseline,6360.27,0.22,53280
opntitle-1.0.sav,stable,6543.17,0.19,51300
opntitle-1.0.sav,today,6504.08,0.22,47584
opntitle-1.0.sav,yesterday,6502.83,0.34,47704
opntitle-1.1.sav,baseline,11088.79,0.23,79780
opntitle-1.1.sav,stable,8616.96,0.17,81548
opntitle-1.1.sav,today,8711.54,0.23,81088
opntitle-1.1.sav,yesterday,8711.22,0.17,81412
opntitle-1.2.sav,baseline,6491.69,0.03,55492
opntitle-1.2.sav,stable,6657.98,0.26,55020
opntitle-1.2.sav,today,6614.72,0.27,51636
opntitle-1.2.sav,yesterday,6612.37,0.27,51596
opntitle-1.3.sav,baseline,6352.79,0.36,55496
opntitle-1.3.sav,stable,6509.59,0.21,54408
opntitle-1.3.sav,today,6526.03,0.55,51328
opntitle-1.3.sav,yesterday,6517.82,0.29,51212
opntitle-1.4.sav,baseline,9263.92,0.20,82676
opntitle-1.4.sav,stable,8224.52,0.35,82788
opntitle-1.4.sav,today,8819.18,0.62,82568
opntitle-1.4.sav,yesterday,8789.65,0.46,82948
opntitle-1.5.sav,baseline,12892.06,0.48,82020
opntitle-1.5.sav,stable,10883.72,0.21,83156
opntitle-1.5.sav,today,11475.61,0.15,83496
opntitle-1.5.sav,yesterday,11491.26,0.27,83484
opntitle-1.7.sav,baseline,10969.48,0.29,78812
opntitle-1.7.sav,stable,8447.18,0.21,80256
opntitle-1.7.sav,today,8392.05,0.19,80236
opntitle-1.7.sav,yesterday,8423.85,0.18,80328
opntitle-1.9.sav,baseline,6350.64,0.11,53280
opntitle-1.9.sav,stable,6544.22,0.20,52584
opntitle-1.9.sav,today,6550.86,0.68,49164
opntitle-1.9.sav,yesterday,6495.98,0.17,49152
opntitle.sav,baseline,11969.75,0.10,78764
opntitle.sav,stable,10096.64,0.20,81084
opntitle.sav,today,9943.04,0.41,81020
opntitle.sav,yesterday,10015.61,0.59,81012
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19467.51,0.84,136236
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,20945.11,0.28,137924
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,21504.93,0.81,141324
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,21405.40,0.84,141172
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10979.85,0.28,88256
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10137.65,0.08,88880
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,10240.72,0.09,89680
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,10241.33,0.33,89984
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10849.32,0.33,123192
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12202.82,0.23,123940
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,12500.92,0.24,124664
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,12448.44,0.47,123684
wentbourne.sav,baseline,44937.11,0.32,305224
wentbourne.sav,stable,44187.10,0.19,295364
wentbourne.sav,today,47424.80,0.21,298060
wentbourne.sav,yesterday,46999.05,0.24,297932
