savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8759.67,0.07,86920
PublicServerGame_05_Final.sav,stable,8808.54,0.22,85416
PublicServerGame_05_Final.sav,today,8479.48,0.26,42448
PublicServerGame_05_Final.sav,yesterday,8549.78,0.11,42444
PublicServerGame_326_Final.sav,baseline,10114.41,0.28,84216
PublicServerGame_326_Final.sav,stable,9825.75,0.35,84540
PublicServerGame_326_Final.sav,today,9832.28,0.16,39552
PublicServerGame_326_Final.sav,yesterday,9948.30,0.33,39552
PublicServerGame_329_Final.sav,baseline,10079.22,0.23,113024
PublicServerGame_329_Final.sav,stable,10351.24,0.66,110136
PublicServerGame_329_Final.sav,today,9569.34,0.61,77528
PublicServerGame_329_Final.sav,yesterday,9519.63,0.27,77388
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8267.68,0.19,82796
lordaro_British-Railways-4th-Oct-2082.sav,stable,8131.75,0.25,83892
lordaro_British-Railways-4th-Oct-2082.sav,today,1303.85,0.32,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1303.63,0.18,42624
lordaro_biggest_town_ever.sav,baseline,5760.88,0.44,101196
lordaro_biggest_town_ever.sav,stable,5851.27,0.82,100244
lordaro_biggest_town_ever.sav,today,7975.62,0.60,85884
lordaro_biggest_town_ever.sav,yesterday,8091.91,0.88,86132
opntitle-1.0.sav,baseline,6411.05,0.08,53152
opntitle-1.0.sav,stable,6547.92,0.11,50920
opntitle-1.0.sav,today,7321.67,0.07,32512
opntitle-1.0.sav,yesterday,7341.75,0.28,32512
opntitle-1.1.sav,baseline,11545.18,0.50,79796
opntitle-1.1.sav,stable,8791.25,0.16,81064
opntitle-1.1.sav,today,9299.88,0.74,36080
opntitle-1.1.sav,yesterday,9263.93,0.32,35820
opntitle-1.2.sav,baseline,6574.81,0.14,55496
opntitle-1.2.sav,stable,6676.16,0.19,54668
opntitle-1.2.sav,today,7524.72,0.17,36336
opntitle-1.2.sav,yesterday,7523.70,0.17,36336
opntitle-1.3.sav,baseline,6436.80,0.23,55496
opntitle-1.3.sav,stable,6562.10,0.41,53988
opntitle-1.3.sav,today,7365.17,0.30,36212
opntitle-1.3.sav,yesterday,7357.67,0.15,36080
opntitle-1.4.sav,baseline,9067.98,0.37,82624
opntitle-1.4.sav,stable,8068.57,0.38,82236
opntitle-1.4.sav,today,9423.10,0.24,38836
opntitle-1.4.sav,yesterday,9483.68,0.32,38948
opntitle-1.5.sav,baseline,12715.28,0.23,81992
opntitle-1.5.sav,stable,10775.77,0.13,83404
opntitle-1.5.sav,today,13393.15,0.21,37580
opntitle-1.5.sav,yesterday,13391.10,0.44,37424
opntitle-1.7.sav,baseline,11240.45,0.30,78796
opntitle-1.7.sav,stable,8515.04,0.21,80244
opntitle-1.7.sav,today,9397.39,0.30,36332
opntitle-1.7.sav,yesterday,9386.91,0.16,36460
opntitle-1.9.sav,baseline,6440.51,0.18,53308
opntitle-1.9.sav,stable,6546.04,0.17,51756
opntitle-1.9.sav,today,7349.37,0.17,34068
opntitle-1.9.sav,yesterday,7358.82,0.25,33904
opntitle.sav,baseline,12070.60,0.19,78676
opntitle.sav,stable,10226.71,0.30,81352
opntitle.sav,today,7268.36,0.35,36096
opntitle.sav,yesterday,7363.39,0.69,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19225.96,0.65,136212
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19028.89,0.71,137584
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14866.75,0.66,122768
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14726.61,0.57,122960
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11239.13,0.16,88236
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10297.46,0.31,89288
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9531.24,0.33,44868
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9516.81,0.15,45116
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11151.97,0.28,123172
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12412.60,0.54,123332
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,9956.76,0.51,79888
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9843.33,0.48,79756
wentbourne.sav,baseline,50736.93,0.30,301136
wentbourne.sav,stable,46734.38,0.55,295252
wentbourne.sav,today,45611.02,0.76,152592
wentbourne.sav,yesterday,44932.32,0.47,152212
