savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8711.13,0.03,86828
PublicServerGame_05_Final.sav,stable,8711.57,0.08,85624
PublicServerGame_05_Final.sav,today,8433.36,0.14,42200
PublicServerGame_05_Final.sav,yesterday,8453.79,0.12,42580
PublicServerGame_326_Final.sav,baseline,10160.71,0.10,84304
PublicServerGame_326_Final.sav,stable,9851.35,0.48,85260
PublicServerGame_326_Final.sav,today,9810.02,0.21,39296
PublicServerGame_326_Final.sav,yesterday,9809.31,0.17,39680
PublicServerGame_329_Final.sav,baseline,9108.99,0.19,113036
PublicServerGame_329_Final.sav,stable,9263.96,0.39,110232
PublicServerGame_329_Final.sav,today,8518.77,0.63,77292
PublicServerGame_329_Final.sav,yesterday,8541.18,0.31,77296
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8319.88,0.24,82920
lordaro_British-Railways-4th-Oct-2082.sav,stable,8132.75,0.13,83596
lordaro_British-Railways-4th-Oct-2082.sav,today,1318.51,0.11,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1313.72,0.52,42752
lordaro_biggest_town_ever.sav,baseline,5919.89,0.18,101200
lordaro_biggest_town_ever.sav,stable,6374.57,0.60,99716
lordaro_biggest_town_ever.sav,today,9106.03,0.49,86140
lordaro_biggest_town_ever.sav,yesterday,9126.54,0.61,86264
opntitle-1.0.sav,baseline,6421.00,0.20,53156
opntitle-1.0.sav,stable,6577.42,0.37,50492
opntitle-1.0.sav,today,7417.34,0.16,32640
opntitle-1.0.sav,yesterday,7412.23,0.15,32384
opntitle-1.1.sav,baseline,11875.47,0.73,79612
opntitle-1.1.sav,stable,8942.04,0.37,81352
opntitle-1.1.sav,today,9541.04,0.26,36212
opntitle-1.1.sav,yesterday,9531.06,0.52,36212
opntitle-1.2.sav,baseline,6559.65,0.09,55500
opntitle-1.2.sav,stable,6706.87,0.21,54556
opntitle-1.2.sav,today,7633.46,0.30,36468
opntitle-1.2.sav,yesterday,7580.26,0.19,36728
opntitle-1.3.sav,baseline,6413.99,0.09,55500
opntitle-1.3.sav,stable,6572.01,0.62,54576
opntitle-1.3.sav,today,7413.33,0.18,36212
opntitle-1.3.sav,yesterday,7421.39,0.18,35824
opntitle-1.4.sav,baseline,9076.26,0.40,82656
opntitle-1.4.sav,stable,8103.68,0.52,82320
opntitle-1.4.sav,today,9437.70,0.35,39076
opntitle-1.4.sav,yesterday,9423.10,0.12,39200
opntitle-1.5.sav,baseline,12945.10,0.22,82072
opntitle-1.5.sav,stable,10949.13,0.15,82916
opntitle-1.5.sav,today,13591.82,0.30,37260
opntitle-1.5.sav,yesterday,13478.24,0.38,37644
opntitle-1.7.sav,baseline,10978.11,0.44,78804
opntitle-1.7.sav,stable,8381.68,0.23,80236
opntitle-1.7.sav,today,9347.07,0.17,36204
opntitle-1.7.sav,yesterday,9293.19,0.38,36332
opntitle-1.9.sav,baseline,6431.46,0.19,53432
opntitle-1.9.sav,stable,6559.47,0.14,51812
opntitle-1.9.sav,today,7409.55,0.09,34164
opntitle-1.9.sav,yesterday,7401.72,0.13,33780
opntitle.sav,baseline,12143.09,0.60,78688
opntitle.sav,stable,10218.00,0.20,80640
opntitle.sav,today,7342.72,0.28,35840
opntitle.sav,yesterday,7385.82,0.35,36224
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,22633.17,0.71,136132
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,22577.87,0.77,137208
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,18371.83,0.42,122896
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,17530.29,0.63,123160
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11213.34,0.50,88332
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10175.76,0.23,90120
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9398.78,0.35,45248
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9370.29,0.28,45248
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11237.30,0.50,123252
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12659.54,0.35,123700
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10350.05,0.57,80016
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10246.24,0.73,79756
wentbourne.sav,baseline,47920.69,0.56,300768
wentbourne.sav,stable,47838.74,0.32,295076
wentbourne.sav,today,45388.92,0.35,151320
wentbourne.sav,yesterday,45398.49,0.64,151320
