savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,9082.36,0.19,87028
PublicServerGame_05_Final.sav,stable,8967.12,0.58,85608
PublicServerGame_05_Final.sav,today,8477.62,0.39,45940
PublicServerGame_05_Final.sav,yesterday,8343.82,0.08,45900
PublicServerGame_326_Final.sav,baseline,9463.00,0.15,84280
PublicServerGame_326_Final.sav,stable,9255.75,0.23,84960
PublicServerGame_326_Final.sav,today,9007.77,0.58,40788
PublicServerGame_326_Final.sav,yesterday,8887.51,0.20,40820
PublicServerGame_329_Final.sav,baseline,9574.79,0.37,113260
PublicServerGame_329_Final.sav,stable,9556.06,0.28,110120
PublicServerGame_329_Final.sav,today,8794.01,0.39,81492
PublicServerGame_329_Final.sav,yesterday,8730.92,0.40,81688
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8296.38,0.21,82988
lordaro_British-Railways-4th-Oct-2082.sav,stable,8139.58,0.14,83732
lordaro_British-Railways-4th-Oct-2082.sav,today,8110.45,0.10,42496
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8391.48,0.26,44300
lordaro_biggest_town_ever.sav,baseline,4839.06,0.40,101200
lordaro_biggest_town_ever.sav,stable,4873.72,0.80,99836
lordaro_biggest_town_ever.sav,today,4962.21,0.59,86384
lordaro_biggest_town_ever.sav,yesterday,4980.58,0.56,86512
opntitle-1.0.sav,baseline,6348.28,0.10,53280
opntitle-1.0.sav,stable,6511.23,0.05,51024
opntitle-1.0.sav,today,7397.08,0.26,31744
opntitle-1.0.sav,yesterday,7679.98,0.19,31872
opntitle-1.1.sav,baseline,11511.68,0.23,79932
opntitle-1.1.sav,stable,8782.63,0.29,81144
opntitle-1.1.sav,today,9419.28,0.53,38492
opntitle-1.1.sav,yesterday,9529.06,0.47,38240
opntitle-1.2.sav,baseline,6516.01,0.33,55488
opntitle-1.2.sav,stable,6650.37,0.09,52804
opntitle-1.2.sav,today,7509.87,0.24,35680
opntitle-1.2.sav,yesterday,7798.01,0.14,35684
opntitle-1.3.sav,baseline,6354.18,0.34,55492
opntitle-1.3.sav,stable,6516.39,0.19,54140
opntitle-1.3.sav,today,7410.31,0.45,35300
opntitle-1.3.sav,yesterday,7673.50,0.18,35428
opntitle-1.4.sav,baseline,9202.50,0.35,82688
opntitle-1.4.sav,stable,8106.45,0.57,82700
opntitle-1.4.sav,today,8890.39,0.37,41464
opntitle-1.4.sav,yesterday,8814.50,0.44,41152
opntitle-1.5.sav,baseline,12834.86,0.13,82100
opntitle-1.5.sav,stable,10944.95,0.61,82736
opntitle-1.5.sav,today,13594.83,0.58,40144
opntitle-1.5.sav,yesterday,13507.54,0.20,40256
opntitle-1.7.sav,baseline,10900.08,0.43,78912
opntitle-1.7.sav,stable,8393.34,0.25,80556
opntitle-1.7.sav,today,9014.45,0.59,38368
opntitle-1.7.sav,yesterday,8940.67,0.41,38360
opntitle-1.9.sav,baseline,6355.90,0.22,53436
opntitle-1.9.sav,stable,6533.06,0.15,51804
opntitle-1.9.sav,today,7382.84,0.13,33252
opntitle-1.9.sav,yesterday,7684.34,0.13,33380
opntitle.sav,baseline,12198.00,0.54,78732
opntitle.sav,stable,10226.16,0.24,80896
opntitle.sav,today,9648.81,0.42,37388
opntitle.sav,yesterday,9642.91,0.47,37296
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,20575.54,0.60,135824
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,22779.62,0.60,138396
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,18255.91,0.38,124928
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,18220.70,0.62,125176
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10944.08,0.24,88376
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10033.50,0.17,89016
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9523.97,0.20,44964
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9595.05,0.33,44992
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11091.43,0.32,123068
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12301.79,0.22,123700
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10053.02,0.29,84800
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,9987.24,0.24,84740
wentbourne.sav,baseline,45383.57,0.50,301056
wentbourne.sav,stable,45084.52,0.80,294852
wentbourne.sav,today,46004.42,0.74,154628
wentbourne.sav,yesterday,42746.71,0.34,154764
