savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8755.87,0.21,86952
PublicServerGame_05_Final.sav,stable,8766.98,0.20,85496
PublicServerGame_05_Final.sav,today,8122.73,0.21,39356
PublicServerGame_05_Final.sav,yesterday,8099.33,0.20,40116
PublicServerGame_326_Final.sav,baseline,10006.87,0.11,84320
PublicServerGame_326_Final.sav,stable,9811.06,0.19,85004
PublicServerGame_326_Final.sav,today,9118.79,0.25,36764
PublicServerGame_326_Final.sav,yesterday,9065.76,0.23,37144
PublicServerGame_329_Final.sav,baseline,10114.99,0.83,113248
PublicServerGame_329_Final.sav,stable,9921.01,0.08,110336
PublicServerGame_329_Final.sav,today,9191.12,0.40,75944
PublicServerGame_329_Final.sav,yesterday,9236.45,0.59,75832
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8244.71,0.16,83000
lordaro_British-Railways-4th-Oct-2082.sav,stable,8080.81,0.17,83924
lordaro_British-Railways-4th-Oct-2082.sav,today,8123.43,0.80,41728
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8190.85,0.32,42164
lordaro_biggest_town_ever.sav,baseline,5754.85,0.57,101292
lordaro_biggest_town_ever.sav,stable,5797.05,0.65,100048
lordaro_biggest_town_ever.sav,today,6025.31,0.45,79728
lordaro_biggest_town_ever.sav,yesterday,5916.35,0.70,79732
opntitle-1.0.sav,baseline,6354.85,0.19,53152
opntitle-1.0.sav,stable,6529.53,0.20,50776
opntitle-1.0.sav,today,7293.16,0.17,29696
opntitle-1.0.sav,yesterday,7290.04,0.24,29696
opntitle-1.1.sav,baseline,11434.98,0.22,79812
opntitle-1.1.sav,stable,8700.77,0.12,81364
opntitle-1.1.sav,today,6913.99,0.65,35396
opntitle-1.1.sav,yesterday,6865.94,0.15,35436
opntitle-1.2.sav,baseline,6526.00,0.31,55492
opntitle-1.2.sav,stable,6674.99,0.50,54308
opntitle-1.2.sav,today,7471.32,0.11,33388
opntitle-1.2.sav,yesterday,7459.43,0.31,33388
opntitle-1.3.sav,baseline,6343.34,0.09,55496
opntitle-1.3.sav,stable,6529.18,0.33,54872
opntitle-1.3.sav,today,7286.49,0.19,33004
opntitle-1.3.sav,yesterday,7320.86,0.15,33128
opntitle-1.4.sav,baseline,9102.00,0.36,82676
opntitle-1.4.sav,stable,8070.81,0.32,82884
opntitle-1.4.sav,today,8732.54,0.38,37276
opntitle-1.4.sav,yesterday,8727.87,0.16,36732
opntitle-1.5.sav,baseline,13120.93,0.21,82112
opntitle-1.5.sav,stable,11052.47,0.51,83036
opntitle-1.5.sav,today,11136.18,0.41,34204
opntitle-1.5.sav,yesterday,10993.22,0.39,34760
opntitle-1.7.sav,baseline,10811.53,0.21,78792
opntitle-1.7.sav,stable,8316.71,0.09,80376
opntitle-1.7.sav,today,6108.83,0.42,34200
opntitle-1.7.sav,yesterday,6099.68,0.36,34132
opntitle-1.9.sav,baseline,6356.98,0.09,53276
opntitle-1.9.sav,stable,6530.83,0.25,51548
opntitle-1.9.sav,today,7308.48,0.29,30952
opntitle-1.9.sav,yesterday,7321.79,0.39,30952
opntitle.sav,baseline,11918.19,0.15,78684
opntitle.sav,stable,10073.62,0.22,80804
opntitle.sav,today,8666.61,0.18,33324
opntitle.sav,yesterday,8684.86,0.32,33552
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,22308.54,0.47,136500
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19027.63,0.38,137092
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14407.89,0.42,120812
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15294.83,0.48,120940
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11303.92,0.25,88436
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10266.15,0.19,89412
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,8403.07,0.36,42404
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,8346.85,0.34,41888
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11706.59,0.55,123292
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13171.36,0.23,123300
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10449.77,0.59,79072
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10350.73,0.42,77964
wentbourne.sav,baseline,49798.16,0.69,301036
wentbourne.sav,stable,50751.38,0.32,294852
wentbourne.sav,today,47090.21,0.33,148268
wentbourne.sav,yesterday,42551.27,0.88,149728
