savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8758.26,0.20,87024
PublicServerGame_05_Final.sav,stable,8713.14,0.15,85248
PublicServerGame_05_Final.sav,today,8200.49,0.16,45268
PublicServerGame_05_Final.sav,yesterday,8184.79,0.23,45532
PublicServerGame_326_Final.sav,baseline,10026.59,0.10,84304
PublicServerGame_326_Final.sav,stable,9765.65,0.12,85164
PublicServerGame_326_Final.sav,today,9660.71,0.18,100284
PublicServerGame_326_Final.sav,yesterday,9494.13,0.32,100216
PublicServerGame_329_Final.sav,baseline,9822.12,0.83,113272
PublicServerGame_329_Final.sav,stable,9614.44,0.88,110080
PublicServerGame_329_Final.sav,today,8849.70,0.32,81852
PublicServerGame_329_Final.sav,yesterday,8974.91,0.88,81948
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8510.32,0.36,83140
lordaro_British-Railways-4th-Oct-2082.sav,stable,8225.66,0.26,83840
lordaro_British-Railways-4th-Oct-2082.sav,today,8210.89,0.23,42368
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8343.82,0.21,42624
lordaro_biggest_town_ever.sav,baseline,5177.82,0.21,101292
lordaro_biggest_town_ever.sav,stable,5284.00,0.34,100052
lordaro_biggest_town_ever.sav,today,5506.56,0.36,86876
lordaro_biggest_town_ever.sav,yesterday,5478.98,0.55,86752
opntitle-1.0.sav,baseline,6366.47,0.25,53272
opntitle-1.0.sav,stable,6559.21,0.23,51108
opntitle-1.0.sav,today,7355.38,0.12,32128
opntitle-1.0.sav,yesterday,7294.20,0.15,32000
opntitle-1.1.sav,baseline,10989.62,0.13,79676
opntitle-1.1.sav,stable,8638.21,0.14,80964
opntitle-1.1.sav,today,9751.48,0.34,60544
opntitle-1.1.sav,yesterday,8725.67,0.56,58716
opntitle-1.2.sav,baseline,6509.69,0.23,55496
opntitle-1.2.sav,stable,6639.01,0.04,54640
opntitle-1.2.sav,today,7660.55,0.31,35532
opntitle-1.2.sav,yesterday,7477.07,0.30,35660
opntitle-1.3.sav,baseline,6337.66,0.05,55492
opntitle-1.3.sav,stable,6519.71,0.17,54724
opntitle-1.3.sav,today,7352.42,0.19,35148
opntitle-1.3.sav,yesterday,7295.14,0.11,35056
opntitle-1.4.sav,baseline,9095.41,0.47,82648
opntitle-1.4.sav,stable,8121.04,0.22,82624
opntitle-1.4.sav,today,8898.48,0.37,41128
opntitle-1.4.sav,yesterday,8802.25,0.10,41284
opntitle-1.5.sav,baseline,12793.05,0.21,82144
opntitle-1.5.sav,stable,10893.53,0.29,83012
opntitle-1.5.sav,today,15150.83,0.77,234896
opntitle-1.5.sav,yesterday,13936.99,0.52,220324
opntitle-1.7.sav,baseline,11355.65,0.73,78920
opntitle-1.7.sav,stable,8569.89,0.34,80356
opntitle-1.7.sav,today,10985.02,0.14,201800
opntitle-1.7.sav,yesterday,9189.11,0.74,179148
opntitle-1.9.sav,baseline,6346.17,0.14,53492
opntitle-1.9.sav,stable,6516.29,0.09,53084
opntitle-1.9.sav,today,7350.20,0.12,33100
opntitle-1.9.sav,yesterday,7303.97,0.14,33104
opntitle.sav,baseline,12039.48,0.49,78656
opntitle.sav,stable,10161.09,0.42,80836
opntitle.sav,today,10890.23,0.64,36736
opntitle.sav,yesterday,10060.59,0.47,36876
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19017.38,0.23,136316
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18761.22,0.45,137900
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14520.80,0.38,123304
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14414.37,0.30,123296
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11087.60,0.40,88332
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10211.25,0.49,89672
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,10310.12,0.26,101300
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9760.70,0.50,94384
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10758.79,0.07,123228
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12044.18,0.39,123440
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10276.95,0.55,83896
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10179.98,0.56,84628
wentbourne.sav,baseline,47041.56,0.43,300776
wentbourne.sav,stable,47359.28,0.31,294660
wentbourne.sav,today,49197.40,0.69,161988
wentbourne.sav,yesterday,49153.02,0.35,161708
