savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8840.93,0.22,86948
PublicServerGame_05_Final.sav,stable,8809.23,0.11,85656
PublicServerGame_05_Final.sav,today,8342.69,0.09,45796
PublicServerGame_05_Final.sav,yesterday,8364.81,0.18,45768
PublicServerGame_326_Final.sav,baseline,10151.83,0.12,84340
PublicServerGame_326_Final.sav,stable,9893.09,0.15,85028
PublicServerGame_326_Final.sav,today,9504.67,0.35,40544
PublicServerGame_326_Final.sav,yesterday,9536.34,0.19,42784
PublicServerGame_329_Final.sav,baseline,11555.00,0.74,113232
PublicServerGame_329_Final.sav,stable,11636.25,0.78,109728
PublicServerGame_329_Final.sav,today,11395.53,0.47,81572
PublicServerGame_329_Final.sav,yesterday,11539.16,0.86,81684
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8487.85,0.38,83048
lordaro_British-Railways-4th-Oct-2082.sav,stable,8428.51,0.40,83688
lordaro_British-Railways-4th-Oct-2082.sav,today,7988.36,0.23,44508
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,8079.83,0.37,44464
lordaro_biggest_town_ever.sav,baseline,6023.72,0.22,101184
lordaro_biggest_town_ever.sav,stable,6107.42,0.28,99504
lordaro_biggest_town_ever.sav,today,6349.91,0.75,86504
lordaro_biggest_town_ever.sav,yesterday,6318.30,0.55,86640
opntitle-1.0.sav,baseline,6356.73,0.28,53272
opntitle-1.0.sav,stable,6517.37,0.10,50976
opntitle-1.0.sav,today,7466.83,0.17,31872
opntitle-1.0.sav,yesterday,7375.87,0.19,31872
opntitle-1.1.sav,baseline,11114.49,0.31,79432
opntitle-1.1.sav,stable,8690.55,0.56,81268
opntitle-1.1.sav,today,9166.61,0.49,40256
opntitle-1.1.sav,yesterday,9106.56,0.43,38368
opntitle-1.2.sav,baseline,6494.84,0.24,55508
opntitle-1.2.sav,stable,6671.65,0.43,54644
opntitle-1.2.sav,today,7609.63,0.09,35932
opntitle-1.2.sav,yesterday,7562.48,0.89,35808
opntitle-1.3.sav,baseline,6625.53,0.25,55500
opntitle-1.3.sav,stable,6782.31,0.30,54392
opntitle-1.3.sav,today,7712.24,0.19,35420
opntitle-1.3.sav,yesterday,7669.52,0.34,35300
opntitle-1.4.sav,baseline,9168.79,0.37,82696
opntitle-1.4.sav,stable,8108.24,0.14,82876
opntitle-1.4.sav,today,8944.99,0.23,41520
opntitle-1.4.sav,yesterday,8897.03,0.51,41108
opntitle-1.5.sav,baseline,12719.77,0.08,82056
opntitle-1.5.sav,stable,10767.32,0.15,83312
opntitle-1.5.sav,today,13525.42,0.23,38348
opntitle-1.5.sav,yesterday,13491.53,0.39,40280
opntitle-1.7.sav,baseline,10650.22,0.21,78828
opntitle-1.7.sav,stable,8244.65,0.12,80240
opntitle-1.7.sav,today,8803.13,0.71,38236
opntitle-1.7.sav,yesterday,8802.05,0.17,38232
opntitle-1.9.sav,baseline,6385.09,0.35,53276
opntitle-1.9.sav,stable,6564.84,0.46,51472
opntitle-1.9.sav,today,7475.57,0.15,33248
opntitle-1.9.sav,yesterday,7393.15,0.15,33380
opntitle.sav,baseline,11910.02,0.65,78720
opntitle.sav,stable,10066.93,0.18,81384
opntitle.sav,today,9366.76,0.18,39132
opntitle.sav,yesterday,9454.68,0.23,37268
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,24649.38,0.87,136196
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,24813.27,0.68,137308
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,16323.52,0.57,124236
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,16048.12,0.15,124232
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11088.09,0.60,88000
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10074.32,0.19,89932
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9602.55,0.65,45216
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9564.49,0.70,44960
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11293.18,0.68,123172
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12689.40,0.36,123356
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,10378.34,0.78,84824
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,10467.95,0.77,85184
wentbourne.sav,baseline,47957.38,0.74,301092
wentbourne.sav,stable,48885.11,0.87,295032
wentbourne.sav,today,42694.92,0.76,155620
wentbourne.sav,yesterday,41513.30,0.63,156996
