savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8765.01,0.19,87056
PublicServerGame_05_Final.sav,stable,8735.10,0.14,85316
PublicServerGame_05_Final.sav,today,8501.31,0.24,42300
PublicServerGame_05_Final.sav,yesterday,8456.36,0.30,42112
PublicServerGame_326_Final.sav,baseline,10102.79,0.27,84228
PublicServerGame_326_Final.sav,stable,9837.54,0.08,84908
PublicServerGame_326_Final.sav,today,9796.46,0.10,39424
PublicServerGame_326_Final.sav,yesterday,9767.87,0.09,39424
PublicServerGame_329_Final.sav,baseline,10486.06,0.52,112920
PublicServerGame_329_Final.sav,stable,10488.29,0.67,109800
PublicServerGame_329_Final.sav,today,9543.69,0.68,77548
PublicServerGame_329_Final.sav,yesterday,8883.27,0.22,77376
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8323.38,0.41,82768
lordaro_British-Railways-4th-Oct-2082.sav,stable,8079.72,0.16,83596
lordaro_British-Railways-4th-Oct-2082.sav,today,1322.56,0.60,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1308.20,0.21,42624
lordaro_biggest_town_ever.sav,baseline,5305.80,0.65,101196
lordaro_biggest_town_ever.sav,stable,5336.72,0.29,99488
lordaro_biggest_town_ever.sav,today,7232.09,0.19,85828
lordaro_biggest_town_ever.sav,yesterday,7285.81,0.56,86000
opntitle-1.0.sav,baseline,6489.76,0.77,53152
opntitle-1.0.sav,stable,6565.31,0.35,51024
opntitle-1.0.sav,today,7371.90,0.42,32640
opntitle-1.0.sav,yesterday,7381.51,0.27,32640
opntitle-1.1.sav,baseline,11089.33,0.22,79672
opntitle-1.1.sav,stable,8652.62,0.15,80816
opntitle-1.1.sav,today,9313.14,0.23,36080
opntitle-1.1.sav,yesterday,9305.04,0.33,36076
opntitle-1.2.sav,baseline,6574.79,0.19,55508
opntitle-1.2.sav,stable,6698.88,0.22,54764
opntitle-1.2.sav,today,7531.50,0.48,36788
opntitle-1.2.sav,yesterday,7495.70,0.11,36712
opntitle-1.3.sav,baseline,6440.03,0.13,55516
opntitle-1.3.sav,stable,6567.14,0.28,54744
opntitle-1.3.sav,today,7342.13,0.07,35948
opntitle-1.3.sav,yesterday,7375.76,0.31,36208
opntitle-1.4.sav,baseline,9055.83,0.11,82700
opntitle-1.4.sav,stable,8075.13,0.02,82928
opntitle-1.4.sav,today,10038.47,0.44,38840
opntitle-1.4.sav,yesterday,10079.66,0.40,39064
opntitle-1.5.sav,baseline,13507.40,0.24,82116
opntitle-1.5.sav,stable,11354.42,0.11,82908
opntitle-1.5.sav,today,14651.61,0.38,37388
opntitle-1.5.sav,yesterday,14518.25,0.25,37504
opntitle-1.7.sav,baseline,10799.65,0.28,78864
opntitle-1.7.sav,stable,8320.61,0.34,80268
opntitle-1.7.sav,today,9469.53,0.23,36192
opntitle-1.7.sav,yesterday,9310.54,0.24,36324
opntitle-1.9.sav,baseline,6433.86,0.17,53152
opntitle-1.9.sav,stable,6554.01,0.07,51048
opntitle-1.9.sav,today,7364.35,0.06,34032
opntitle-1.9.sav,yesterday,7349.16,0.05,34024
opntitle.sav,baseline,12145.44,0.34,78656
opntitle.sav,stable,10186.61,0.34,80760
opntitle.sav,today,7490.89,0.18,35968
opntitle.sav,yesterday,7591.23,0.19,35840
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,20941.17,0.26,135888
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19558.21,0.87,136940
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14828.37,0.41,123136
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14890.07,0.57,122884
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11133.36,0.62,88332
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10175.85,0.55,89664
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9366.08,0.32,44988
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9530.11,0.56,45120
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,12583.21,0.63,123172
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,14366.17,0.81,122580
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,12657.45,0.33,79916
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,12696.71,0.47,79916
wentbourne.sav,baseline,46300.27,0.41,300764
wentbourne.sav,stable,45945.85,0.41,295244
wentbourne.sav,today,47352.07,0.48,151400
wentbourne.sav,yesterday,45225.83,0.57,151396
