savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8701.14,0.08,87000
PublicServerGame_05_Final.sav,stable,8690.30,0.12,85408
PublicServerGame_05_Final.sav,today,8443.88,0.18,42060
PublicServerGame_05_Final.sav,yesterday,8488.97,0.17,42032
PublicServerGame_326_Final.sav,baseline,9997.04,0.23,84280
PublicServerGame_326_Final.sav,stable,9754.03,0.12,84752
PublicServerGame_326_Final.sav,today,9636.21,0.09,39424
PublicServerGame_326_Final.sav,yesterday,9799.50,0.19,39296
PublicServerGame_329_Final.sav,baseline,9917.36,0.70,112984
PublicServerGame_329_Final.sav,stable,9649.90,0.35,110192
PublicServerGame_329_Final.sav,today,8894.14,0.35,77040
PublicServerGame_329_Final.sav,yesterday,8996.81,0.25,77052
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8291.19,0.10,82800
lordaro_British-Railways-4th-Oct-2082.sav,stable,8193.65,0.19,83812
lordaro_British-Railways-4th-Oct-2082.sav,today,1277.58,0.51,42112
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1270.47,0.26,42240
lordaro_biggest_town_ever.sav,baseline,5250.11,0.45,101204
lordaro_biggest_town_ever.sav,stable,5138.23,0.68,99496
lordaro_biggest_town_ever.sav,today,6993.43,0.35,85684
lordaro_biggest_town_ever.sav,yesterday,7145.88,0.77,85976
opntitle-1.0.sav,baseline,6405.19,0.04,53152
opntitle-1.0.sav,stable,6576.34,0.37,50920
opntitle-1.0.sav,today,7409.48,0.24,32384
opntitle-1.0.sav,yesterday,7573.10,0.14,32640
opntitle-1.1.sav,baseline,11112.26,0.28,79584
opntitle-1.1.sav,stable,8612.42,0.22,80824
opntitle-1.1.sav,today,9068.11,0.27,35796
opntitle-1.1.sav,yesterday,9122.43,0.42,35928
opntitle-1.2.sav,baseline,6575.89,0.22,55496
opntitle-1.2.sav,stable,6691.67,0.18,54632
opntitle-1.2.sav,today,7602.28,0.40,36308
opntitle-1.2.sav,yesterday,7759.69,0.43,36308
opntitle-1.3.sav,baseline,6412.47,0.11,55500
opntitle-1.3.sav,stable,6523.59,0.09,53892
opntitle-1.3.sav,today,7423.82,0.23,35928
opntitle-1.3.sav,yesterday,7620.10,0.05,36004
opntitle-1.4.sav,baseline,9055.88,0.45,82680
opntitle-1.4.sav,stable,8006.23,0.32,82916
opntitle-1.4.sav,today,9714.10,0.31,38384
opntitle-1.4.sav,yesterday,9668.38,0.25,38532
opntitle-1.5.sav,baseline,12827.90,0.21,82092
opntitle-1.5.sav,stable,10928.45,0.18,82756
opntitle-1.5.sav,today,14020.62,0.84,37068
opntitle-1.5.sav,yesterday,13965.03,0.10,37164
opntitle-1.7.sav,baseline,10892.43,0.24,78840
opntitle-1.7.sav,stable,8376.46,0.21,80292
opntitle-1.7.sav,today,9507.65,0.05,36072
opntitle-1.7.sav,yesterday,9518.10,0.36,35920
opntitle-1.9.sav,baseline,6423.96,0.12,53308
opntitle-1.9.sav,stable,6567.13,0.13,51812
opntitle-1.9.sav,today,7417.52,0.22,33872
opntitle-1.9.sav,yesterday,7618.98,0.36,33876
opntitle.sav,baseline,11855.46,0.16,78704
opntitle.sav,stable,10131.36,0.15,80996
opntitle.sav,today,7278.54,0.33,35840
opntitle.sav,yesterday,7186.76,0.47,35840
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18859.58,0.31,136100
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19037.37,0.69,136656
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14336.74,0.40,122716
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14497.48,0.46,122888
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11285.98,0.38,88348
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10226.34,0.44,89572
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9314.06,0.23,44848
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9347.12,0.36,44908
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10757.75,0.08,123176
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12089.20,0.17,123356
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,7316.82,0.18,80000
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,7366.70,0.23,79724
wentbourne.sav,baseline,45068.01,0.45,301092
wentbourne.sav,stable,44678.90,0.47,295444
wentbourne.sav,today,41512.21,0.33,139272
wentbourne.sav,yesterday,41508.14,0.67,139396
