savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8730.58,0.21,86892
PublicServerGame_05_Final.sav,stable,8737.38,0.24,85128
PublicServerGame_05_Final.sav,today,8343.82,0.10,41632
PublicServerGame_05_Final.sav,yesterday,8373.22,0.16,41764
PublicServerGame_326_Final.sav,baseline,10061.28,0.13,84296
PublicServerGame_326_Final.sav,stable,9770.24,0.17,85184
PublicServerGame_326_Final.sav,today,9616.63,0.16,38784
PublicServerGame_326_Final.sav,yesterday,9681.99,0.20,38784
PublicServerGame_329_Final.sav,baseline,9341.49,0.28,112996
PublicServerGame_329_Final.sav,stable,9325.37,0.26,110124
PublicServerGame_329_Final.sav,today,8540.73,0.60,75712
PublicServerGame_329_Final.sav,yesterday,8307.04,0.43,75596
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8441.45,0.63,82784
lordaro_British-Railways-4th-Oct-2082.sav,stable,8268.63,0.41,83828
lordaro_British-Railways-4th-Oct-2082.sav,today,1273.48,0.55,41984
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1276.25,0.51,41856
lordaro_biggest_town_ever.sav,baseline,5176.63,0.79,101208
lordaro_biggest_town_ever.sav,stable,5323.05,0.71,100100
lordaro_biggest_town_ever.sav,today,7113.11,0.13,85320
lordaro_biggest_town_ever.sav,yesterday,7226.49,0.48,85064
opntitle-1.0.sav,baseline,6415.96,0.15,53152
opntitle-1.0.sav,stable,6550.64,0.20,51044
opntitle-1.0.sav,today,7410.99,0.20,32384
opntitle-1.0.sav,yesterday,7373.07,0.13,32384
opntitle-1.1.sav,baseline,11160.11,0.30,79676
opntitle-1.1.sav,stable,8798.33,0.13,81052
opntitle-1.1.sav,today,9220.62,0.26,35648
opntitle-1.1.sav,yesterday,9256.52,0.40,35776
opntitle-1.2.sav,baseline,6574.29,0.22,55492
opntitle-1.2.sav,stable,6731.97,0.26,54292
opntitle-1.2.sav,today,7610.67,0.89,36032
opntitle-1.2.sav,yesterday,7571.62,0.08,36160
opntitle-1.3.sav,baseline,6418.64,0.26,55496
opntitle-1.3.sav,stable,6559.49,0.31,54396
opntitle-1.3.sav,today,7364.10,0.32,35652
opntitle-1.3.sav,yesterday,7358.52,0.43,35648
opntitle-1.4.sav,baseline,9085.36,0.33,82664
opntitle-1.4.sav,stable,8104.68,0.27,82776
opntitle-1.4.sav,today,9717.11,0.46,37980
opntitle-1.4.sav,yesterday,9666.53,0.22,37980
opntitle-1.5.sav,baseline,12820.41,0.27,82044
opntitle-1.5.sav,stable,10876.71,0.29,83396
opntitle-1.5.sav,today,13926.71,0.44,36500
opntitle-1.5.sav,yesterday,13843.42,0.58,36632
opntitle-1.7.sav,baseline,11030.35,0.34,78744
opntitle-1.7.sav,stable,8400.79,0.16,80236
opntitle-1.7.sav,today,9824.78,0.21,35516
opntitle-1.7.sav,yesterday,9803.88,0.37,35644
opntitle-1.9.sav,baseline,6487.73,0.81,53156
opntitle-1.9.sav,stable,6634.86,0.88,51292
opntitle-1.9.sav,today,7404.38,0.19,33604
opntitle-1.9.sav,yesterday,7390.14,0.29,33796
opntitle.sav,baseline,11900.97,0.31,78668
opntitle.sav,stable,10099.19,0.28,81196
opntitle.sav,today,7261.97,0.33,35200
opntitle.sav,yesterday,7309.04,0.76,35200
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,17580.27,0.50,136280
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,17540.07,0.49,136940
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,13100.07,0.43,121684
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,13194.45,0.24,121812
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10961.96,0.15,88212
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10092.74,0.16,89744
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9002.09,0.23,44052
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9035.20,0.21,43856
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,12777.38,0.69,123224
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,14127.04,0.86,123208
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,8668.98,0.50,78700
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8646.18,0.65,78572
wentbourne.sav,baseline,45731.40,0.69,300940
wentbourne.sav,stable,45989.36,0.52,295424
wentbourne.sav,today,42068.62,0.67,139616
wentbourne.sav,yesterday,41590.76,0.70,139644
