savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8862.05,0.09,86940
PublicServerGame_05_Final.sav,stable,8874.92,0.37,85492
PublicServerGame_05_Final.sav,today,8488.09,0.26,42444
PublicServerGame_05_Final.sav,yesterday,8559.79,0.25,42440
PublicServerGame_326_Final.sav,baseline,10085.04,0.09,84224
PublicServerGame_326_Final.sav,stable,9781.52,0.12,84636
PublicServerGame_326_Final.sav,today,9762.84,0.10,39424
PublicServerGame_326_Final.sav,yesterday,9956.47,0.09,39424
PublicServerGame_329_Final.sav,baseline,9661.07,0.22,112944
PublicServerGame_329_Final.sav,stable,9693.13,0.29,110268
PublicServerGame_329_Final.sav,today,8899.01,0.49,77376
PublicServerGame_329_Final.sav,yesterday,9101.71,0.33,77280
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8280.82,0.26,82856
lordaro_British-Railways-4th-Oct-2082.sav,stable,8106.17,0.23,83656
lordaro_British-Railways-4th-Oct-2082.sav,today,1294.91,0.19,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1302.13,0.15,42752
lordaro_biggest_town_ever.sav,baseline,6662.10,0.71,101096
lordaro_biggest_town_ever.sav,stable,6601.97,0.53,100128
lordaro_biggest_town_ever.sav,today,8876.98,0.52,86196
lordaro_biggest_town_ever.sav,yesterday,9194.39,0.62,86392
opntitle-1.0.sav,baseline,6422.57,0.10,53156
opntitle-1.0.sav,stable,6545.27,0.10,50420
opntitle-1.0.sav,today,7383.05,0.10,32640
opntitle-1.0.sav,yesterday,7356.51,0.14,32640
opntitle-1.1.sav,baseline,11151.04,0.23,79588
opntitle-1.1.sav,stable,8644.81,0.24,80948
opntitle-1.1.sav,today,9350.22,0.25,36204
opntitle-1.1.sav,yesterday,9424.71,0.57,36080
opntitle-1.2.sav,baseline,6594.57,0.15,55488
opntitle-1.2.sav,stable,6730.11,0.29,54548
opntitle-1.2.sav,today,7547.91,0.25,36584
opntitle-1.2.sav,yesterday,7539.72,0.37,36688
opntitle-1.3.sav,baseline,6436.65,0.18,55496
opntitle-1.3.sav,stable,6569.79,0.53,54676
opntitle-1.3.sav,today,7400.42,0.22,36104
opntitle-1.3.sav,yesterday,7344.33,0.15,36204
opntitle-1.4.sav,baseline,9158.11,0.26,82648
opntitle-1.4.sav,stable,8076.61,0.29,82596
opntitle-1.4.sav,today,9836.87,0.25,38940
opntitle-1.4.sav,yesterday,9851.72,0.20,38944
opntitle-1.5.sav,baseline,12643.42,0.16,82108
opntitle-1.5.sav,stable,10751.64,0.21,83304
opntitle-1.5.sav,today,13811.17,0.27,37516
opntitle-1.5.sav,yesterday,13873.95,0.27,37516
opntitle-1.7.sav,baseline,10935.47,0.20,78836
opntitle-1.7.sav,stable,8365.50,0.13,80624
opntitle-1.7.sav,today,9477.38,0.37,36196
opntitle-1.7.sav,yesterday,9495.68,0.30,36328
opntitle-1.9.sav,baseline,6417.08,0.05,53152
opntitle-1.9.sav,stable,6574.52,0.21,52796
opntitle-1.9.sav,today,7402.70,0.18,34036
opntitle-1.9.sav,yesterday,7367.43,0.10,33896
opntitle.sav,baseline,11989.25,0.21,78676
opntitle.sav,stable,10214.07,0.13,81048
opntitle.sav,today,7417.32,0.21,35968
opntitle.sav,yesterday,7539.67,0.23,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19317.26,0.56,136168
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,19013.62,0.44,137820
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14589.08,0.74,123020
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14941.72,0.64,123020
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,10973.24,0.26,88112
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10057.11,0.22,89308
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9377.03,0.15,45052
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9453.42,0.39,45120
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11736.38,0.77,123116
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13165.60,0.68,123752
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,11191.40,0.90,80008
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,11058.68,0.57,79884
wentbourne.sav,baseline,47980.54,0.59,301232
wentbourne.sav,stable,44791.29,0.57,296328
wentbourne.sav,today,43123.86,0.62,151792
wentbourne.sav,yesterday,42894.32,0.22,151196
