savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8738.18,0.13,86924
PublicServerGame_05_Final.sav,stable,8719.68,0.11,85408
PublicServerGame_05_Final.sav,today,8471.63,0.52,42332
PublicServerGame_05_Final.sav,yesterday,8436.30,0.07,42448
PublicServerGame_326_Final.sav,baseline,10000.15,0.12,84280
PublicServerGame_326_Final.sav,stable,9752.05,0.18,84896
PublicServerGame_326_Final.sav,today,9812.13,0.15,39424
PublicServerGame_326_Final.sav,yesterday,9823.50,0.28,39424
PublicServerGame_329_Final.sav,baseline,10005.68,0.51,112984
PublicServerGame_329_Final.sav,stable,9966.55,0.90,110288
PublicServerGame_329_Final.sav,today,9487.53,0.18,77088
PublicServerGame_329_Final.sav,yesterday,9504.82,0.74,77216
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8237.53,0.08,82796
lordaro_British-Railways-4th-Oct-2082.sav,stable,8112.71,0.42,83940
lordaro_British-Railways-4th-Oct-2082.sav,today,1311.69,0.35,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1308.72,0.18,42624
lordaro_biggest_town_ever.sav,baseline,5947.12,0.58,101084
lordaro_biggest_town_ever.sav,stable,6559.48,0.55,100052
lordaro_biggest_town_ever.sav,today,9346.68,0.67,86140
lordaro_biggest_town_ever.sav,yesterday,9178.26,0.87,85880
opntitle-1.0.sav,baseline,6412.13,0.14,53156
opntitle-1.0.sav,stable,6543.82,0.11,50620
opntitle-1.0.sav,today,7488.26,0.28,32640
opntitle-1.0.sav,yesterday,7484.69,0.24,32640
opntitle-1.1.sav,baseline,11378.88,0.24,79796
opntitle-1.1.sav,stable,8735.15,0.26,81204
opntitle-1.1.sav,today,9572.90,0.42,36020
opntitle-1.1.sav,yesterday,9482.97,0.28,35956
opntitle-1.2.sav,baseline,6565.03,0.06,55496
opntitle-1.2.sav,stable,6703.91,0.19,54568
opntitle-1.2.sav,today,7671.71,0.11,36596
opntitle-1.2.sav,yesterday,7658.46,0.37,36596
opntitle-1.3.sav,baseline,6420.17,0.19,55496
opntitle-1.3.sav,stable,6555.52,0.23,54744
opntitle-1.3.sav,today,7463.33,0.32,36156
opntitle-1.3.sav,yesterday,7524.50,0.39,36208
opntitle-1.4.sav,baseline,9261.47,0.33,82656
opntitle-1.4.sav,stable,8227.66,0.48,82644
opntitle-1.4.sav,today,10028.73,0.40,38956
opntitle-1.4.sav,yesterday,9867.72,0.65,38700
opntitle-1.5.sav,baseline,12822.61,0.16,82076
opntitle-1.5.sav,stable,10915.32,0.22,82768
opntitle-1.5.sav,today,13994.82,0.33,37520
opntitle-1.5.sav,yesterday,14357.47,0.68,37380
opntitle-1.7.sav,baseline,11204.69,0.55,78784
opntitle-1.7.sav,stable,8424.90,0.35,80228
opntitle-1.7.sav,today,9505.35,0.26,36212
opntitle-1.7.sav,yesterday,9505.25,0.58,36352
opntitle-1.9.sav,baseline,6438.31,0.06,53192
opntitle-1.9.sav,stable,6612.30,0.55,51372
opntitle-1.9.sav,today,7478.76,0.29,34032
opntitle-1.9.sav,yesterday,7489.04,0.26,34108
opntitle.sav,baseline,12222.13,0.46,78808
opntitle.sav,stable,10261.16,0.36,80808
opntitle.sav,today,7560.39,0.32,35968
opntitle.sav,yesterday,7563.87,0.28,35968
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18279.74,0.26,135136
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18319.48,0.36,137232
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14153.19,0.38,122904
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,13924.83,0.38,122904
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11048.08,0.54,88604
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10086.27,0.36,89776
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9459.01,0.41,45000
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9468.60,0.31,44996
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,13172.69,0.55,123020
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,14667.56,0.74,123108
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,11586.19,0.42,79884
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,11483.08,0.84,79888
wentbourne.sav,baseline,43637.88,0.42,303016
wentbourne.sav,stable,43488.59,0.29,295080
wentbourne.sav,today,41821.12,0.32,151448
wentbourne.sav,yesterday,41954.90,0.25,151448
