savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8838.59,0.24,86860
PublicServerGame_05_Final.sav,stable,8798.72,0.20,85120
PublicServerGame_05_Final.sav,today,9298.70,0.74,42004
PublicServerGame_05_Final.sav,yesterday,9249.34,0.09,40628
PublicServerGame_326_Final.sav,baseline,10172.57,0.24,84696
PublicServerGame_326_Final.sav,stable,9864.91,0.11,84944
PublicServerGame_326_Final.sav,today,9874.33,0.41,39168
PublicServerGame_326_Final.sav,yesterday,9962.35,0.13,37888
PublicServerGame_329_Final.sav,baseline,10111.66,0.52,112852
PublicServerGame_329_Final.sav,stable,10159.07,0.66,109876
PublicServerGame_329_Final.sav,today,9282.06,0.85,75084
PublicServerGame_329_Final.sav,yesterday,9912.46,0.70,73928
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8392.32,0.15,82872
lordaro_British-Railways-4th-Oct-2082.sav,stable,8425.21,0.25,83736
lordaro_British-Railways-4th-Oct-2082.sav,today,1327.19,0.88,40960
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1306.12,0.53,40704
lordaro_biggest_town_ever.sav,baseline,6045.14,0.52,101028
lordaro_biggest_town_ever.sav,stable,6226.38,0.50,99968
lordaro_biggest_town_ever.sav,today,9310.99,0.46,86808
lordaro_biggest_town_ever.sav,yesterday,9524.47,0.32,86204
opntitle-1.0.sav,baseline,6443.12,0.11,51208
opntitle-1.0.sav,stable,6579.39,0.46,50648
opntitle-1.0.sav,today,7528.53,0.16,33536
opntitle-1.0.sav,yesterday,7429.83,0.09,33024
opntitle-1.1.sav,baseline,11240.63,0.34,79596
opntitle-1.1.sav,stable,8590.98,0.28,81108
opntitle-1.1.sav,today,8929.09,0.22,36244
opntitle-1.1.sav,yesterday,8961.11,0.39,34980
opntitle-1.2.sav,baseline,6605.64,0.20,53280
opntitle-1.2.sav,stable,6680.37,0.08,52588
opntitle-1.2.sav,today,7685.34,0.29,34168
opntitle-1.2.sav,yesterday,7594.36,0.27,33988
opntitle-1.3.sav,baseline,6458.37,0.13,53408
opntitle-1.3.sav,stable,6570.30,0.31,52432
opntitle-1.3.sav,today,7561.46,0.72,34168
opntitle-1.3.sav,yesterday,7443.96,0.21,34112
opntitle-1.4.sav,baseline,9140.20,0.39,83288
opntitle-1.4.sav,stable,8168.01,0.25,82424
opntitle-1.4.sav,today,9852.91,0.19,37364
opntitle-1.4.sav,yesterday,9864.65,0.15,36176
opntitle-1.5.sav,baseline,13228.08,0.44,81820
opntitle-1.5.sav,stable,11104.31,0.51,83336
opntitle-1.5.sav,today,13066.50,0.37,36760
opntitle-1.5.sav,yesterday,12839.72,0.26,37020
opntitle-1.7.sav,baseline,10844.39,0.35,78696
opntitle-1.7.sav,stable,8309.38,0.10,80036
opntitle-1.7.sav,today,9032.63,0.60,35860
opntitle-1.7.sav,yesterday,8865.35,0.34,34728
opntitle-1.9.sav,baseline,6447.47,0.08,52188
opntitle-1.9.sav,stable,6551.19,0.11,52436
opntitle-1.9.sav,today,7527.86,0.10,34300
opntitle-1.9.sav,yesterday,7457.96,0.26,34116
opntitle.sav,baseline,12032.28,0.23,78640
opntitle.sav,stable,10412.06,0.19,81000
opntitle.sav,today,7123.79,0.41,35584
opntitle.sav,yesterday,7031.79,0.47,34944
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21653.27,0.69,137068
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,22280.69,0.73,137540
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,17543.89,0.77,121780
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15323.34,0.81,122400
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11103.19,0.27,88088
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10008.46,0.28,89676
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9160.00,0.16,43536
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9172.44,0.21,42796
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11865.32,0.70,123660
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12828.62,0.69,124228
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,8217.06,0.72,78984
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8143.02,0.38,79076
wentbourne.sav,baseline,47088.95,0.54,301396
wentbourne.sav,stable,46703.75,0.12,295648
wentbourne.sav,today,42495.15,0.39,124492
wentbourne.sav,yesterday,42301.73,0.26,124092
