savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8909.13,0.07,86624
PublicServerGame_05_Final.sav,stable,8973.71,0.35,85160
PublicServerGame_05_Final.sav,today,8669.67,0.24,41664
PublicServerGame_05_Final.sav,yesterday,8628.55,0.19,41916
PublicServerGame_326_Final.sav,baseline,10234.69,0.15,84128
PublicServerGame_326_Final.sav,stable,10013.04,0.62,84976
PublicServerGame_326_Final.sav,today,10028.36,0.33,39552
PublicServerGame_326_Final.sav,yesterday,9975.35,0.16,39552
PublicServerGame_329_Final.sav,baseline,9929.84,0.59,113156
PublicServerGame_329_Final.sav,stable,9906.36,0.38,110004
PublicServerGame_329_Final.sav,today,9041.84,0.63,76912
PublicServerGame_329_Final.sav,yesterday,8931.62,0.39,77476
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8607.77,0.47,82764
lordaro_British-Railways-4th-Oct-2082.sav,stable,8707.87,0.18,83444
lordaro_British-Railways-4th-Oct-2082.sav,today,1385.36,0.65,43008
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1342.78,0.41,41856
lordaro_biggest_town_ever.sav,baseline,6187.40,0.24,101796
lordaro_biggest_town_ever.sav,stable,6214.67,0.43,99856
lordaro_biggest_town_ever.sav,today,8749.53,0.74,88000
lordaro_biggest_town_ever.sav,yesterday,8601.94,0.41,88124
opntitle-1.0.sav,baseline,6447.88,0.29,51288
opntitle-1.0.sav,stable,6562.36,0.29,50780
opntitle-1.0.sav,today,7387.01,0.16,34516
opntitle-1.0.sav,yesterday,7501.95,0.29,34176
opntitle-1.1.sav,baseline,11228.71,0.18,79764
opntitle-1.1.sav,stable,8744.86,0.23,81068
opntitle-1.1.sav,today,8601.81,0.50,37584
opntitle-1.1.sav,yesterday,8484.87,0.41,36556
opntitle-1.2.sav,baseline,6612.39,0.12,53280
opntitle-1.2.sav,stable,6700.18,0.26,52332
opntitle-1.2.sav,today,7524.81,0.17,35448
opntitle-1.2.sav,yesterday,7612.45,0.14,35388
opntitle-1.3.sav,baseline,6435.28,0.06,53276
opntitle-1.3.sav,stable,6505.77,0.41,52324
opntitle-1.3.sav,today,7350.57,0.03,35516
opntitle-1.3.sav,yesterday,7468.37,0.15,35512
opntitle-1.4.sav,baseline,9152.65,0.70,82512
opntitle-1.4.sav,stable,8245.40,0.35,82684
opntitle-1.4.sav,today,8206.45,0.18,38288
opntitle-1.4.sav,yesterday,8271.83,0.19,37256
opntitle-1.5.sav,baseline,12993.14,0.09,81900
opntitle-1.5.sav,stable,11083.15,0.20,82912
opntitle-1.5.sav,today,12540.99,0.21,37976
opntitle-1.5.sav,yesterday,12643.90,0.23,37452
opntitle-1.7.sav,baseline,11101.10,0.31,80256
opntitle-1.7.sav,stable,8526.12,0.20,80036
opntitle-1.7.sav,today,8961.79,0.72,36436
opntitle-1.7.sav,yesterday,8883.43,0.27,36044
opntitle-1.9.sav,baseline,6454.70,0.05,52184
opntitle-1.9.sav,stable,6570.51,0.24,51676
opntitle-1.9.sav,today,7373.40,0.09,35264
opntitle-1.9.sav,yesterday,7495.20,0.24,34984
opntitle.sav,baseline,12291.68,0.36,78648
opntitle.sav,stable,10407.76,0.27,81200
opntitle.sav,today,7334.37,0.49,37120
opntitle.sav,yesterday,7376.49,0.28,36352
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,20783.11,0.31,136008
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,20664.01,0.55,137536
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,15119.69,0.29,123976
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14989.17,0.57,124960
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11075.58,0.31,88520
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10099.10,0.17,89044
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,8991.35,0.37,45160
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,8860.78,0.27,44140
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11638.70,0.45,122972
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12732.86,0.51,123320
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,8049.11,0.49,80980
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8123.61,0.55,80704
wentbourne.sav,baseline,47178.64,0.33,301380
wentbourne.sav,stable,46160.50,0.47,295676
wentbourne.sav,today,41253.19,0.14,125800
wentbourne.sav,yesterday,40997.53,0.41,125804
