savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8820.38,0.08,86776
PublicServerGame_05_Final.sav,stable,8796.30,0.14,85024
PublicServerGame_05_Final.sav,today,8434.83,0.17,42168
PublicServerGame_05_Final.sav,yesterday,8447.53,0.23,41564
PublicServerGame_326_Final.sav,baseline,10200.02,0.12,84800
PublicServerGame_326_Final.sav,stable,9960.31,0.15,84900
PublicServerGame_326_Final.sav,today,9928.92,0.33,40448
PublicServerGame_326_Final.sav,yesterday,10024.42,0.33,39296
PublicServerGame_329_Final.sav,baseline,10819.82,0.77,113416
PublicServerGame_329_Final.sav,stable,10833.03,0.56,109956
PublicServerGame_329_Final.sav,today,10084.82,0.54,76540
PublicServerGame_329_Final.sav,yesterday,10101.66,0.68,75708
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8333.02,0.18,82868
lordaro_British-Railways-4th-Oct-2082.sav,stable,8369.38,0.16,83676
lordaro_British-Railways-4th-Oct-2082.sav,today,1304.22,0.30,41728
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1295.54,0.34,41728
lordaro_biggest_town_ever.sav,baseline,5522.59,0.43,101148
lordaro_biggest_town_ever.sav,stable,5467.34,0.32,99828
lordaro_biggest_town_ever.sav,today,8021.52,0.80,87740
lordaro_biggest_town_ever.sav,yesterday,8044.19,0.20,88636
opntitle-1.0.sav,baseline,6455.98,0.15,51296
opntitle-1.0.sav,stable,6550.00,0.22,50780
opntitle-1.0.sav,today,7439.78,0.25,34816
opntitle-1.0.sav,yesterday,7404.33,0.25,33664
opntitle-1.1.sav,baseline,11451.83,0.33,80376
opntitle-1.1.sav,stable,8838.29,0.48,81252
opntitle-1.1.sav,today,8653.46,0.42,37580
opntitle-1.1.sav,yesterday,8780.02,0.38,36432
opntitle-1.2.sav,baseline,6639.68,0.14,53280
opntitle-1.2.sav,stable,6709.08,0.20,52320
opntitle-1.2.sav,today,7530.03,0.11,35260
opntitle-1.2.sav,yesterday,7536.81,0.29,35260
opntitle-1.3.sav,baseline,6451.49,0.29,53280
opntitle-1.3.sav,stable,6553.42,0.10,52300
opntitle-1.3.sav,today,7407.88,0.17,35260
opntitle-1.3.sav,yesterday,7397.12,0.23,35384
opntitle-1.4.sav,baseline,9316.34,0.46,82584
opntitle-1.4.sav,stable,8388.72,0.24,82528
opntitle-1.4.sav,today,8422.51,0.13,38528
opntitle-1.4.sav,yesterday,8444.55,0.04,37636
opntitle-1.5.sav,baseline,13339.24,0.55,81860
opntitle-1.5.sav,stable,11345.17,0.25,83712
opntitle-1.5.sav,today,13024.14,0.55,39064
opntitle-1.5.sav,yesterday,13196.70,0.70,37444
opntitle-1.7.sav,baseline,11001.43,0.19,79112
opntitle-1.7.sav,stable,8427.06,0.17,80036
opntitle-1.7.sav,today,8778.90,0.47,35920
opntitle-1.7.sav,yesterday,8765.52,0.28,36124
opntitle-1.9.sav,baseline,6462.69,0.12,53324
opntitle-1.9.sav,stable,6563.89,0.22,51556
opntitle-1.9.sav,today,7423.76,0.15,35128
opntitle-1.9.sav,yesterday,7391.54,0.08,35384
opntitle.sav,baseline,12447.18,0.66,78644
opntitle.sav,stable,10463.76,0.26,81108
opntitle.sav,today,7522.93,0.44,36864
opntitle.sav,yesterday,7504.52,0.41,36352
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18405.23,0.47,137400
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18376.18,0.48,137672
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,13908.31,0.26,124344
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,13926.80,0.43,124172
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11156.19,0.57,88724
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10045.95,0.07,90076
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,8996.27,0.25,45164
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,8983.50,0.32,44140
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11340.22,0.49,123012
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,12520.06,0.41,123188
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,7937.57,0.48,80572
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8192.90,0.41,80208
wentbourne.sav,baseline,45406.44,0.39,302300
wentbourne.sav,stable,45763.82,0.38,295192
wentbourne.sav,today,42147.83,0.28,125420
wentbourne.sav,yesterday,42590.59,0.23,126128
