savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8731.62,0.29,86900
PublicServerGame_05_Final.sav,stable,8760.65,0.19,85344
PublicServerGame_05_Final.sav,today,8418.23,0.39,41708
PublicServerGame_05_Final.sav,yesterday,8537.61,0.16,40200
PublicServerGame_326_Final.sav,baseline,10163.26,0.12,84140
PublicServerGame_326_Final.sav,stable,9888.82,0.06,84960
PublicServerGame_326_Final.sav,today,10020.46,0.28,38400
PublicServerGame_326_Final.sav,yesterday,10043.27,0.07,37760
PublicServerGame_329_Final.sav,baseline,9596.02,0.37,112800
PublicServerGame_329_Final.sav,stable,9515.61,0.28,109756
PublicServerGame_329_Final.sav,today,8750.61,0.66,74648
PublicServerGame_329_Final.sav,yesterday,8676.32,0.69,75220
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8333.44,0.20,82880
lordaro_British-Railways-4th-Oct-2082.sav,stable,8445.02,0.11,83528
lordaro_British-Railways-4th-Oct-2082.sav,today,1296.88,0.30,40320
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1301.69,0.22,40576
lordaro_biggest_town_ever.sav,baseline,5397.07,0.88,101152
lordaro_biggest_town_ever.sav,stable,5387.60,0.72,100492
lordaro_biggest_town_ever.sav,today,7783.83,0.28,85900
lordaro_biggest_town_ever.sav,yesterday,7803.43,0.54,85512
opntitle-1.0.sav,baseline,6438.86,0.11,51204
opntitle-1.0.sav,stable,6531.83,0.03,50652
opntitle-1.0.sav,today,7402.61,0.21,32896
opntitle-1.0.sav,yesterday,7447.82,0.13,33024
opntitle-1.1.sav,baseline,11270.87,0.28,79444
opntitle-1.1.sav,stable,8738.54,0.11,81172
opntitle-1.1.sav,today,9063.87,0.13,35056
opntitle-1.1.sav,yesterday,9109.18,0.29,34812
opntitle-1.2.sav,baseline,6538.67,0.12,53280
opntitle-1.2.sav,stable,6661.35,0.60,52460
opntitle-1.2.sav,today,7497.25,0.17,33792
opntitle-1.2.sav,yesterday,7550.70,0.12,33924
opntitle-1.3.sav,baseline,6439.57,0.04,53280
opntitle-1.3.sav,stable,6630.46,0.64,52452
opntitle-1.3.sav,today,7387.87,0.10,33792
opntitle-1.3.sav,yesterday,7466.59,0.06,33796
opntitle-1.4.sav,baseline,9032.61,0.41,82476
opntitle-1.4.sav,stable,8118.58,0.30,82332
opntitle-1.4.sav,today,9482.74,0.31,36512
opntitle-1.4.sav,yesterday,9577.94,0.19,36020
opntitle-1.5.sav,baseline,13361.34,0.89,82388
opntitle-1.5.sav,stable,11039.99,0.49,83744
opntitle-1.5.sav,today,13162.19,0.18,37488
opntitle-1.5.sav,yesterday,13390.38,0.87,36604
opntitle-1.7.sav,baseline,10935.50,0.12,79112
opntitle-1.7.sav,stable,8386.99,0.50,80272
opntitle-1.7.sav,today,9163.47,0.22,34428
opntitle-1.7.sav,yesterday,9131.65,0.47,35452
opntitle-1.9.sav,baseline,6412.69,0.29,53404
opntitle-1.9.sav,stable,6576.02,0.31,51428
opntitle-1.9.sav,today,7383.61,0.12,33792
opntitle-1.9.sav,yesterday,7522.67,0.55,33796
opntitle.sav,baseline,12020.49,0.24,78516
opntitle.sav,stable,10374.65,0.16,81132
opntitle.sav,today,7432.59,0.86,35712
opntitle.sav,yesterday,7555.50,0.33,34560
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19222.44,0.87,137468
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18701.60,0.27,137692
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,13987.86,0.71,120704
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,13974.31,0.87,121600
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11169.48,0.19,88200
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10119.02,0.17,88868
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9305.86,0.26,43692
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9375.26,0.23,42552
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,10453.95,0.80,123192
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,11481.50,0.62,123540
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,6951.49,0.84,78556
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,6937.55,0.60,78796
wentbourne.sav,baseline,43813.45,0.58,301348
wentbourne.sav,stable,43451.46,0.22,295608
wentbourne.sav,today,39187.76,0.15,123724
wentbourne.sav,yesterday,39409.35,0.22,124340
