savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8902.19,0.47,86752
PublicServerGame_05_Final.sav,stable,8825.35,0.17,85156
PublicServerGame_05_Final.sav,today,8340.86,0.17,40884
PublicServerGame_05_Final.sav,yesterday,8356.42,0.12,39864
PublicServerGame_326_Final.sav,baseline,10151.75,0.07,84148
PublicServerGame_326_Final.sav,stable,9933.16,0.16,84812
PublicServerGame_326_Final.sav,today,9854.27,0.41,38272
PublicServerGame_326_Final.sav,yesterday,9986.33,0.16,37632
PublicServerGame_329_Final.sav,baseline,9608.49,0.19,112996
PublicServerGame_329_Final.sav,stable,9578.91,0.20,110004
PublicServerGame_329_Final.sav,today,8481.17,0.47,74452
PublicServerGame_329_Final.sav,yesterday,8564.69,0.52,75216
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8319.63,0.18,82804
lordaro_British-Railways-4th-Oct-2082.sav,stable,8337.61,0.13,83568
lordaro_British-Railways-4th-Oct-2082.sav,today,1307.26,0.82,40576
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1301.55,0.41,40448
lordaro_biggest_town_ever.sav,baseline,5628.31,0.73,101036
lordaro_biggest_town_ever.sav,stable,5646.61,0.62,99860
lordaro_biggest_town_ever.sav,today,8088.02,0.64,84280
lordaro_biggest_town_ever.sav,yesterday,8127.95,0.34,85948
opntitle-1.0.sav,baseline,6451.15,0.16,51292
opntitle-1.0.sav,stable,7143.85,0.43,50784
opntitle-1.0.sav,today,7478.55,0.17,31872
opntitle-1.0.sav,yesterday,7538.28,0.18,32768
opntitle-1.1.sav,baseline,10838.99,0.25,79548
opntitle-1.1.sav,stable,8502.88,0.18,80916
opntitle-1.1.sav,today,8748.36,0.27,34628
opntitle-1.1.sav,yesterday,8849.14,0.50,34508
opntitle-1.2.sav,baseline,6631.27,0.52,53280
opntitle-1.2.sav,stable,6673.06,0.09,52308
opntitle-1.2.sav,today,7539.77,0.13,33448
opntitle-1.2.sav,yesterday,7770.42,0.30,33588
opntitle-1.3.sav,baseline,6443.96,0.05,53276
opntitle-1.3.sav,stable,6597.74,0.81,52444
opntitle-1.3.sav,today,7458.73,0.07,33208
opntitle-1.3.sav,yesterday,7526.69,0.06,33464
opntitle-1.4.sav,baseline,9218.01,0.35,82544
opntitle-1.4.sav,stable,8184.71,0.50,82720
opntitle-1.4.sav,today,9648.31,0.58,36612
opntitle-1.4.sav,yesterday,9703.27,0.30,35456
opntitle-1.5.sav,baseline,12938.18,0.22,81968
opntitle-1.5.sav,stable,10938.94,0.07,83216
opntitle-1.5.sav,today,12789.60,0.14,36556
opntitle-1.5.sav,yesterday,12893.74,0.18,35412
opntitle-1.7.sav,baseline,10946.23,0.38,78736
opntitle-1.7.sav,stable,8406.95,0.24,80020
opntitle-1.7.sav,today,9220.67,0.32,34756
opntitle-1.7.sav,yesterday,8901.35,0.49,34128
opntitle-1.9.sav,baseline,6463.52,0.17,53188
opntitle-1.9.sav,stable,6615.78,0.42,51424
opntitle-1.9.sav,today,7482.73,0.20,33592
opntitle-1.9.sav,yesterday,7550.10,0.25,33588
opntitle.sav,baseline,12101.34,0.30,78716
opntitle.sav,stable,10365.47,0.13,80988
opntitle.sav,today,7266.38,0.36,35072
opntitle.sav,yesterday,7420.30,0.42,34432
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,21307.48,0.55,136156
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,21012.31,0.56,139124
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,15735.16,0.32,122380
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,15805.27,0.44,123028
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11258.19,0.22,88196
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10160.71,0.22,89356
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9191.14,0.43,42968
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9181.88,0.40,42208
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,12321.20,0.52,123128
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13635.76,0.41,123956
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,8946.95,0.76,78252
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8859.84,0.84,78404
wentbourne.sav,baseline,45223.35,0.44,301392
wentbourne.sav,stable,46548.85,0.78,295876
wentbourne.sav,today,40169.81,0.74,123244
wentbourne.sav,yesterday,42979.74,0.28,123628
