savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,9071.98,0.20,86960
PublicServerGame_05_Final.sav,stable,9014.11,0.21,85248
PublicServerGame_05_Final.sav,today,8731.20,0.29,42908
PublicServerGame_05_Final.sav,yesterday,8770.87,0.23,42256
PublicServerGame_326_Final.sav,baseline,10214.13,0.14,84120
PublicServerGame_326_Final.sav,stable,9879.72,0.23,84968
PublicServerGame_326_Final.sav,today,10124.73,0.09,40448
PublicServerGame_326_Final.sav,yesterday,10090.57,0.14,39552
PublicServerGame_329_Final.sav,baseline,9678.07,0.12,113428
PublicServerGame_329_Final.sav,stable,9651.31,0.26,110092
PublicServerGame_329_Final.sav,today,8692.70,0.49,76960
PublicServerGame_329_Final.sav,yesterday,8718.85,0.60,77600
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8546.82,0.19,82824
lordaro_British-Railways-4th-Oct-2082.sav,stable,8578.20,0.28,83576
lordaro_British-Railways-4th-Oct-2082.sav,today,1346.91,0.58,42368
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1352.13,0.50,42368
lordaro_biggest_town_ever.sav,baseline,6132.19,0.64,101028
lordaro_biggest_town_ever.sav,stable,6130.31,0.84,99868
lordaro_biggest_town_ever.sav,today,8600.56,0.76,87572
lordaro_biggest_town_ever.sav,yesterday,8865.86,0.59,86940
opntitle-1.0.sav,baseline,6472.01,0.34,51288
opntitle-1.0.sav,stable,6552.26,0.17,50780
opntitle-1.0.sav,today,7529.31,0.19,33408
opntitle-1.0.sav,yesterday,7467.96,0.28,32768
opntitle-1.1.sav,baseline,11467.08,0.20,79668
opntitle-1.1.sav,stable,8781.35,0.18,80968
opntitle-1.1.sav,today,9116.76,0.66,37276
opntitle-1.1.sav,yesterday,9079.15,0.31,36248
opntitle-1.2.sav,baseline,6589.94,0.04,53276
opntitle-1.2.sav,stable,6691.75,0.09,52412
opntitle-1.2.sav,today,7621.61,0.19,34708
opntitle-1.2.sav,yesterday,7581.91,0.18,34580
opntitle-1.3.sav,baseline,6442.29,0.06,53400
opntitle-1.3.sav,stable,6563.16,0.38,52440
opntitle-1.3.sav,today,7506.17,0.26,34200
opntitle-1.3.sav,yesterday,7439.14,0.08,34072
opntitle-1.4.sav,baseline,9144.88,0.31,82516
opntitle-1.4.sav,stable,8269.23,0.42,82140
opntitle-1.4.sav,today,9074.48,0.53,38588
opntitle-1.4.sav,yesterday,9107.53,0.29,38332
opntitle-1.5.sav,baseline,12935.23,0.24,81868
opntitle-1.5.sav,stable,10933.50,0.20,83104
opntitle-1.5.sav,today,13450.05,0.42,37884
opntitle-1.5.sav,yesterday,13648.55,0.38,37240
opntitle-1.7.sav,baseline,10966.30,0.33,79148
opntitle-1.7.sav,stable,8489.33,0.53,80244
opntitle-1.7.sav,today,9168.96,0.33,36248
opntitle-1.7.sav,yesterday,9191.03,0.45,37016
opntitle-1.9.sav,baseline,6472.17,0.24,52072
opntitle-1.9.sav,stable,6541.99,0.12,51548
opntitle-1.9.sav,today,7534.92,0.30,34840
opntitle-1.9.sav,yesterday,7514.00,0.52,34200
opntitle.sav,baseline,12243.09,0.27,78528
opntitle.sav,stable,10364.82,0.15,80752
opntitle.sav,today,7380.37,0.29,36480
opntitle.sav,yesterday,7369.23,0.25,35712
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,19019.89,0.16,136240
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18824.06,0.10,137488
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14185.41,0.80,123264
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14508.74,0.54,123240
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11124.95,0.70,88188
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10186.08,0.23,88820
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9188.27,0.87,44840
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9188.67,0.36,44204
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,12133.01,0.83,124548
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13360.87,0.64,123996
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,8543.72,0.87,79632
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,8407.29,0.72,79892
wentbourne.sav,baseline,43650.39,0.38,301396
wentbourne.sav,stable,42874.71,0.23,295488
wentbourne.sav,today,40418.73,0.88,139740
wentbourne.sav,yesterday,40518.42,0.59,140000
